date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,-1,-1,0,1,-1,-1,-1,0,-1,0,-1,-2,0,-1
2020-02-16,-1,-1,-1,0,-1,-1,-2,0,-2,0,-1,-2,-1,0
2020-02-17,4,2,2,5,5,3,5,4,4,5,2,5,4,4
2020-02-18,3,0,1,4,4,2,4,4,3,4,1,4,4,3
2020-02-19,2,1,1,3,2,2,3,2,2,3,1,3,3,1
2020-02-20,3,0,0,4,4,2,4,4,4,4,0,3,4,2
2020-02-21,3,0,0,5,4,3,4,5,4,5,0,4,5,2
2020-02-22,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,-1
2020-02-23,-1,-3,-2,-1,-2,-1,-1,0,0,-1,-2,-2,-1,-2
2020-02-24,3,3,4,6,5,3,5,5,1,5,4,0,6,3
2020-02-25,4,4,5,6,6,3,5,5,0,5,5,1,5,4
2020-02-26,3,3,4,3,3,5,4,3,1,3,3,2,3,3
2020-02-27,4,5,6,5,5,4,6,7,1,5,5,1,5,5
2020-02-28,4,4,5,7,6,4,5,6,1,7,5,0,7,3
2020-02-29,1,1,1,1,1,0,1,1,1,1,1,1,1,2
2020-03-01,0,-2,-1,0,0,3,-1,0,1,0,0,0,0,1
2020-03-02,3,6,6,2,1,3,2,2,2,1,6,2,1,3
2020-03-03,2,5,5,2,1,1,1,1,0,1,6,2,1,1
2020-03-04,2,3,3,2,1,1,1,2,1,1,4,2,2,1
2020-03-05,3,6,6,2,2,1,1,2,2,1,6,2,2,2
2020-03-06,3,5,6,2,1,1,2,1,1,1,7,1,1,0
2020-03-07,1,1,1,1,0,2,1,1,1,0,1,1,1,1
2020-03-08,1,-1,0,1,1,1,1,1,1,1,1,0,1,0
2020-03-09,2,2,2,2,1,5,2,2,2,1,2,2,1,2
2020-03-10,2,2,2,2,1,3,3,3,2,1,1,1,2,1
2020-03-11,1,1,1,2,1,3,3,2,1,1,1,1,1,0
2020-03-12,1,1,2,1,1,6,3,2,2,1,1,1,1,1
2020-03-13,3,2,2,3,2,8,4,3,4,2,2,2,2,2
2020-03-14,5,4,4,5,5,6,5,5,6,4,5,4,5,4
2020-03-15,3,3,2,4,2,4,3,4,5,3,3,4,3,4
2020-03-16,13,14,11,12,12,12,12,12,18,11,13,14,13,13
2020-03-17,24,24,20,21,21,18,22,22,30,21,22,23,23,22
2020-03-18,29,29,25,27,26,24,27,26,35,26,28,28,29,27
2020-03-19,32,33,29,30,30,26,30,30,38,30,30,31,33,30
2020-03-20,36,37,33,35,34,29,34,34,41,35,35,34,37,33
2020-03-21,24,25,24,25,24,21,24,24,26,24,24,24,26,24
2020-03-22,18,19,17,18,16,0,17,17,19,17,18,18,18,18
2020-03-23,32,33,29,30,30,27,31,30,38,30,31,31,33,30
2020-03-24,34,35,31,31,32,27,33,32,40,31,32,32,34,32
2020-03-25,32,33,29,29,29,27,30,29,38,29,30,30,32,30
2020-03-26,34,36,32,32,32,29,32,32,40,31,32,33,35,32
2020-03-27,37,38,35,36,35,30,35,35,42,36,36,35,39,34
2020-03-28,25,26,24,25,24,21,23,24,26,24,24,24,26,24
2020-03-29,18,19,18,18,17,0,17,17,20,17,18,18,18,18
2020-03-30,33,34,30,30,31,27,31,30,39,30,32,32,33,30
2020-03-31,33,35,31,31,32,27,32,31,40,31,31,32,34,31
2020-04-01,31,32,28,28,29,25,29,28,37,28,29,30,31,29
2020-04-02,33,35,31,31,31,27,31,31,40,31,31,32,34,32
2020-04-03,37,37,34,35,35,29,35,34,42,35,35,34,38,33
2020-04-04,24,25,23,24,23,20,23,23,26,24,24,23,25,23
2020-04-05,17,18,17,17,16,0,16,16,19,16,18,17,18,18
2020-04-06,31,32,28,29,30,25,29,29,38,29,30,30,32,29
2020-04-07,32,34,29,30,31,25,30,30,39,30,30,31,33,30
2020-04-08,30,30,26,27,27,24,27,27,36,27,28,28,29,28
2020-04-09,32,33,29,30,30,26,29,29,39,29,30,30,32,30
2020-04-10,36,36,33,34,33,27,37,32,41,33,34,33,36,32
2020-04-11,23,24,22,23,22,19,22,22,25,22,23,22,24,22
