date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,-2,2,4,-3,-2,1,-2,-2,-8,-3,1,-5,-3,0
2020-02-16,-1,1,2,-6,1,2,0,-2,-1,-4,1,-2,-1,-1
2020-02-17,-15,1,0,-21,-19,-16,-20,-20,-20,-21,0,-24,-19,-19
2020-02-18,-14,2,1,-19,-18,-14,-19,-19,-18,-19,1,-22,-19,-18
2020-02-19,-12,1,0,-17,-16,-11,-16,-16,-15,-17,1,-19,-16,-15
2020-02-20,-15,1,-1,-21,-20,-15,-20,-21,-19,-21,0,-21,-20,-19
2020-02-21,-15,0,0,-22,-20,-17,-21,-22,-18,-22,1,-22,-22,-19
2020-02-22,-5,0,2,-7,-7,-3,-7,-9,-8,-9,-1,-4,-9,-5
2020-02-23,-1,3,2,-4,-1,-1,-3,-2,-2,-3,1,1,-2,-1
2020-02-24,-15,-18,-21,-26,-25,-18,-23,-26,2,-26,-19,1,-25,-22
2020-02-25,-14,-18,-20,-24,-24,-17,-22,-24,2,-25,-19,2,-24,-21
2020-02-26,-12,-15,-18,-21,-20,-15,-18,-20,2,-21,-16,1,-21,-18
2020-02-27,-15,-19,-22,-24,-24,-18,-23,-25,1,-24,-20,2,-24,-22
2020-02-28,-15,-19,-21,-24,-24,-17,-22,-24,3,-25,-20,2,-24,-20
2020-02-29,-5,-5,-6,-7,-8,-1,-7,-9,1,-10,-6,1,-8,-6
2020-03-01,1,3,3,0,0,1,2,5,-2,2,1,4,-1,1
2020-03-02,-5,-23,-23,2,1,-3,0,-1,2,1,-23,1,1,-2
2020-03-03,-4,-20,-21,1,2,0,1,1,2,2,-22,2,2,1
2020-03-04,-3,-17,-17,2,1,1,1,0,2,1,-19,2,2,1
2020-03-05,-5,-21,-22,1,1,0,0,-1,1,1,-22,2,1,0
2020-03-06,-4,-21,-21,1,2,0,0,0,3,1,-22,1,2,1
2020-03-07,0,-5,-3,2,3,1,1,1,0,2,-4,1,1,2
2020-03-08,-1,2,1,-3,0,3,0,0,-3,1,-1,2,-1,1
2020-03-09,-1,0,0,0,1,-6,-2,-3,0,-1,0,0,1,0
2020-03-10,-1,0,-1,0,0,-6,-3,-3,-1,-1,0,1,0,0
2020-03-11,0,1,0,0,0,-5,-3,-3,-1,-1,0,1,1,0
2020-03-12,-1,0,-1,0,0,-14,-4,-3,-2,0,0,1,1,0
2020-03-13,-2,-1,-1,-1,0,-16,-5,-4,-3,-1,0,-2,0,-1
2020-03-14,-5,-4,-2,-4,-5,-5,-7,-6,-8,-5,-4,-4,-5,-3
2020-03-15,-9,-6,-2,-9,-1,-13,-9,-6,-17,-5,-2,-7,-5,-11
2020-03-16,-36,-33,-29,-31,-31,-34,-34,-35,-47,-31,-31,-36,-30,-35
2020-03-17,-55,-53,-47,-49,-49,-51,-53,-53,-68,-49,-50,-55,-50,-54
2020-03-18,-67,-66,-61,-63,-63,-62,-65,-65,-76,-63,-64,-67,-67,-66
2020-03-19,-71,-69,-65,-66,-67,-64,-69,-69,-78,-67,-67,-70,-70,-69
2020-03-20,-71,-70,-66,-66,-67,-65,-70,-70,-78,-68,-67,-71,-70,-69
2020-03-21,-58,-57,-54,-54,-56,-56,-60,-58,-64,-57,-54,-56,-56,-58
2020-03-22,-55,-55,-52,-53,-51,-53,-58,-54,-59,-52,-50,-52,-53,-56
2020-03-23,-73,-73,-69,-68,-70,-66,-72,-71,-80,-69,-69,-72,-72,-71
2020-03-24,-74,-73,-70,-69,-71,-68,-73,-72,-81,-70,-70,-73,-73,-72
2020-03-25,-73,-72,-69,-68,-70,-67,-72,-71,-81,-69,-69,-72,-72,-71
2020-03-26,-74,-73,-70,-69,-71,-69,-73,-72,-81,-70,-70,-73,-73,-72
2020-03-27,-73,-73,-69,-68,-70,-68,-73,-72,-80,-69,-69,-72,-72,-71
2020-03-28,-59,-58,-55,-55,-56,-56,-60,-58,-66,-58,-55,-56,-57,-58
2020-03-29,-56,-56,-54,-53,-53,-54,-59,-56,-63,-53,-53,-53,-54,-55
2020-03-30,-74,-73,-69,-68,-70,-67,-72,-72,-81,-69,-70,-72,-72,-71
2020-03-31,-74,-73,-69,-68,-70,-67,-72,-72,-82,-70,-69,-72,-72,-72
2020-04-01,-71,-71,-66,-66,-68,-64,-70,-70,-80,-67,-67,-70,-70,-69
2020-04-02,-73,-72,-68,-68,-70,-67,-72,-71,-81,-69,-69,-71,-71,-71
2020-04-03,-72,-71,-67,-66,-69,-65,-71,-71,-80,-68,-67,-70,-70,-70
2020-04-04,-57,-57,-53,-53,-54,-54,-58,-56,-65,-55,-53,-54,-55,-57
2020-04-05,-53,-52,-49,-50,-48,-53,-54,-50,-59,-48,-49,-50,-50,-54
2020-04-06,-72,-71,-67,-66,-69,-63,-70,-70,-81,-68,-68,-71,-70,-70
2020-04-07,-72,-71,-67,-67,-69,-64,-70,-70,-81,-68,-68,-71,-70,-70
2020-04-08,-70,-69,-64,-64,-67,-61,-68,-68,-80,-65,-66,-69,-68,-68
2020-04-09,-71,-70,-66,-66,-68,-63,-69,-69,-81,-67,-67,-70,-69,-70
2020-04-10,-71,-70,-66,-65,-67,-62,-79,-69,-79,-66,-66,-70,-68,-68
2020-04-11,-55,-54,-51,-49,-53,-51,-55,-53,-63,-53,-51,-53,-52,-55
