date,GA
2020-02-15,0
2020-02-16,-2
2020-02-17,-4
2020-02-18,-3
2020-02-19,-4
2020-02-20,-7
2020-02-21,-9
2020-02-22,-7
2020-02-23,-6
2020-02-24,-3
2020-02-25,-1
2020-02-26,-7
2020-02-27,3
2020-02-28,5
2020-02-29,1
2020-03-01,3
2020-03-02,2
2020-03-03,2
2020-03-04,-3
2020-03-05,1
2020-03-06,2
2020-03-07,-16
2020-03-08,6
2020-03-09,-3
2020-03-10,-4
2020-03-11,-13
2020-03-12,-3
2020-03-13,-2
2020-03-14,-9
2020-03-15,-12
2020-03-16,-7
2020-03-17,-13
2020-03-18,-16
2020-03-19,-19
2020-03-20,-21
2020-03-21,-30
2020-03-22,-43
2020-03-23,-35
2020-03-24,-38
2020-03-25,-32
2020-03-26,-30
2020-03-27,-30
2020-03-28,-35
2020-03-29,-39
2020-03-30,-33
2020-03-31,-33
2020-04-01,-37
2020-04-02,-34
2020-04-03,-35
2020-04-04,-36
2020-04-05,-37
2020-04-06,-31
2020-04-07,-32
2020-04-08,-33
2020-04-09,-37
2020-04-10,-31
2020-04-11,-32
