date,GE
2020-02-15,8
2020-02-16,10
2020-02-17,3
2020-02-18,10
2020-02-19,7
2020-02-20,10
2020-02-21,18
2020-02-22,9
2020-02-23,9
2020-02-24,7
2020-02-25,5
2020-02-26,12
2020-02-27,14
2020-02-28,13
2020-02-29,11
2020-03-01,5
2020-03-02,5
2020-03-03,11
2020-03-04,10
2020-03-05,11
2020-03-06,12
2020-03-07,9
2020-03-08,16
2020-03-09,0
2020-03-10,6
2020-03-11,6
2020-03-12,5
2020-03-13,7
2020-03-14,8
2020-03-15,5
2020-03-16,-10
2020-03-17,-7
2020-03-18,-11
2020-03-19,-12
2020-03-20,-4
2020-03-21,-13
2020-03-22,-29
2020-03-23,-32
2020-03-24,-30
2020-03-25,-29
2020-03-26,-31
2020-03-27,-28
2020-03-28,-32
2020-03-29,-36
2020-03-30,-36
2020-03-31,-39
2020-04-01,-39
2020-04-02,-42
2020-04-03,-37
2020-04-04,-40
2020-04-05,-36
2020-04-06,-41
2020-04-07,-40
2020-04-08,-43
2020-04-09,-43
2020-04-10,-36
2020-04-11,-39
