date,GE
2020-02-15,0
2020-02-16,-1
2020-02-17,0
2020-02-18,-1
2020-02-19,-1
2020-02-20,-1
2020-02-21,-2
2020-02-22,-1
2020-02-23,-1
2020-02-24,-1
2020-02-25,0
2020-02-26,-2
2020-02-27,-1
2020-02-28,-1
2020-02-29,0
2020-03-01,1
2020-03-02,2
2020-03-03,5
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,-3
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,4
2020-03-14,4
2020-03-15,2
2020-03-16,9
2020-03-17,10
2020-03-18,13
2020-03-19,13
2020-03-20,14
2020-03-21,12
2020-03-22,10
2020-03-23,18
2020-03-24,18
2020-03-25,18
2020-03-26,19
2020-03-27,19
2020-03-28,13
2020-03-29,12
2020-03-30,21
2020-03-31,22
2020-04-01,22
2020-04-02,24
2020-04-03,23
2020-04-04,18
2020-04-05,14
2020-04-06,23
2020-04-07,23
2020-04-08,23
2020-04-09,24
2020-04-10,22
2020-04-11,16
