date,total
2020-02-29,1.4693184127501961
2020-03-01,-4.3518131591607885
2020-03-02,1.7243638577581448
2020-03-03,13.297652447269787
2020-03-04,3.5465753390727985
2020-03-05,6.937556916096723
2020-03-06,3.926737417480873
2020-03-07,0.7827809884520694
2020-03-08,16.184157342186793
2020-03-09,-1.5808005412285133
2020-03-10,2.0780589560238854
2020-03-11,-5.9245934033764724
2020-03-12,-8.615403051180463
2020-03-13,-14.431722444883748
2020-03-14,-21.241756638476495
2020-03-15,-19.78928084945324
2020-03-16,-30.406550035035718
2020-03-17,-33.59461809763508
2020-03-18,-43.04333000844843
2020-03-19,-41.23555506175687
2020-03-20,-44.68829292577957
2020-03-21,-54.907755379525746
2020-03-22,-61.39938378170921
2020-03-23,-59.25315230107628
2020-03-24,-59.06627938067737
2020-03-25,-60.63585150608792
2020-03-26,-60.61499873385456
2020-03-27,-60.140197150695116
2020-03-28,-63.305006351957275
2020-03-29,-66.7665665426941
2020-03-30,-65.26837506069771
2020-03-31,-67.35926649194212
2020-04-01,-68.63609777638443
2020-04-02,-70.1302791098744
2020-04-03,-66.953439463093
2020-04-04,-71.09191272171255
2020-04-05,-68.50777302417917
2020-04-06,-68.04018970833127
2020-04-07,-69.2039348048927
2020-04-08,-69.80465505115355
2020-04-09,-69.51672638839301
2020-04-10,-65.22586748652971
2020-04-11,-68.00008822326713
