date,total
2020-02-29,3.316798261663998
2020-03-01,-1.3874606704213734
2020-03-02,-0.7800470128636293
2020-03-03,-0.7576686149536072
2020-03-04,4.319030796634276
2020-03-05,2.1994768231564628
2020-03-06,1.535317942326877
2020-03-07,0.8599698625422799
2020-03-08,7.344110656971198
2020-03-09,-4.01612319635219
2020-03-10,-2.3888939768948645
2020-03-11,-4.023316252823268
2020-03-12,-8.829077204000527
2020-03-13,-11.068515451996314
2020-03-14,-11.977238252842572
2020-03-15,-11.743064303284124
2020-03-16,-24.759299601949152
2020-03-17,-28.14403228584
2020-03-18,-32.77875833870495
2020-03-19,-32.64608640823839
2020-03-20,-32.45107465502248
2020-03-21,-38.78815740604268
2020-03-22,-45.04451807888744
2020-03-23,-46.860365223586385
2020-03-24,-49.092610415111096
2020-03-25,-48.339737171138204
2020-03-26,-50.42092817677027
2020-03-27,-48.82167195470047
2020-03-28,-47.72513045710939
2020-03-29,-53.23421248545877
2020-03-30,-55.87406421034459
2020-03-31,-60.97953584781679
2020-04-01,-59.4034572521538
2020-04-02,-62.71066477185636
2020-04-03,-58.78885053812498
2020-04-04,-60.99232350376537
2020-04-05,-56.212937092982074
2020-04-06,-61.01709958716575
2020-04-07,-62.87290815670402
2020-04-08,-61.741200605254335
2020-04-09,-62.3590042332703
2020-04-10,-56.78998006766193
2020-04-11,-57.00017716231678
