date,GH
2020-02-15,-3
2020-02-16,-3
2020-02-17,-4
2020-02-18,-3
2020-02-19,-4
2020-02-20,-5
2020-02-21,-2
2020-02-22,-2
2020-02-23,-4
2020-02-24,-3
2020-02-25,-2
2020-02-26,-2
2020-02-27,-1
2020-02-28,2
2020-02-29,2
2020-03-01,1
2020-03-02,3
2020-03-03,2
2020-03-04,7
2020-03-05,5
2020-03-06,-4
2020-03-07,1
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,-5
2020-03-15,-4
2020-03-16,-9
2020-03-17,-8
2020-03-18,-10
2020-03-19,-13
2020-03-20,-15
2020-03-21,-13
2020-03-22,-22
2020-03-23,-30
2020-03-24,-27
2020-03-25,-25
2020-03-26,-23
2020-03-27,-28
2020-03-28,-12
2020-03-29,-15
2020-03-30,-57
2020-03-31,-56
2020-04-01,-59
2020-04-02,-59
2020-04-03,-58
2020-04-04,-62
2020-04-05,-58
2020-04-06,-57
2020-04-07,-55
2020-04-08,-56
2020-04-09,-55
2020-04-10,-60
2020-04-11,-58
