date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,1,3,2,0,0,5,2
2020-02-16,0,3,0,-1,-2,1,0
2020-02-17,-1,-1,-1,-1,-1,-1,-1
2020-02-18,1,-1,3,-1,-1,0,0
2020-02-19,-1,-1,-1,-2,-2,-3,-1
2020-02-20,-2,-4,-1,-3,-2,-2,-1
2020-02-21,1,2,0,2,0,2,2
2020-02-22,2,3,2,1,0,2,3
2020-02-23,0,2,0,-2,-2,1,0
2020-02-24,-1,-1,-1,-1,-1,-1,-1
2020-02-25,-1,-1,-1,-1,-1,-1,0
2020-02-26,-1,-1,-1,-1,-1,0,-1
2020-02-27,-1,-2,-1,0,-1,2,-1
2020-02-28,0,-1,-1,1,0,-1,0
2020-02-29,0,1,0,0,0,2,0
2020-03-01,-1,-2,-1,-2,-2,-1,-2
2020-03-02,4,0,6,3,1,3,2
2020-03-03,-1,-1,-2,0,-1,0,-1
2020-03-04,0,0,0,0,0,-1,1
2020-03-05,0,-1,0,0,-1,1,0
2020-03-06,1,0,1,1,0,-1,1
2020-03-07,2,2,2,3,1,2,1
2020-03-08,3,2,2,3,2,2,2
2020-03-09,2,2,3,0,1,1,2
2020-03-10,1,0,1,0,1,0,1
2020-03-11,4,4,5,4,3,1,3
2020-03-12,5,5,6,5,4,3,4
2020-03-13,9,9,10,8,7,6,8
2020-03-14,11,10,12,11,10,7,9
2020-03-15,14,12,14,15,15,9,14
2020-03-16,16,17,18,16,14,12,15
2020-03-17,17,17,20,16,16,13,15
2020-03-18,19,18,23,17,17,12,17
2020-03-19,20,19,23,17,18,15,17
2020-03-20,22,21,25,20,21,16,20
2020-03-21,18,17,20,17,17,13,16
2020-03-22,16,16,17,17,15,13,15
2020-03-23,25,22,28,24,23,18,22
2020-03-24,25,23,28,23,24,18,22
2020-03-25,33,30,38,30,32,22,31
2020-03-26,26,24,29,23,24,19,23
2020-03-27,29,25,32,27,28,21,27
2020-03-28,23,21,24,23,23,18,21
2020-03-29,20,21,21,20,20,17,19
2020-03-30,22,21,26,20,20,15,18
2020-03-31,23,23,27,21,21,18,19
2020-04-01,24,21,28,23,23,15,22
2020-04-02,24,21,27,22,23,18,20
2020-04-03,27,24,30,26,26,19,25
2020-04-04,23,22,25,23,23,19,23
2020-04-05,21,21,22,22,21,18,21
2020-04-06,24,22,27,22,22,18,21
2020-04-07,24,24,28,21,22,18,20
2020-04-08,23,23,27,19,20,15,19
2020-04-09,23,20,27,19,20,16,18
2020-04-10,25,22,29,23,24,18,22
2020-04-11,20,19,22,19,19,15,17
