date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,-3,3,-5,12,7,-14,7
2020-02-16,8,11,3,30,26,0,25
2020-02-17,10,16,9,9,11,6,7
2020-02-18,-27,8,-38,10,8,12,-1
2020-02-19,8,9,7,12,12,13,8
2020-02-20,4,13,3,5,7,4,5
2020-02-21,1,2,0,6,5,-3,4
2020-02-22,-6,0,-8,-4,3,-10,1
2020-02-23,6,7,2,15,18,0,16
2020-02-24,8,10,7,4,11,10,5
2020-02-25,5,10,5,5,6,12,6
2020-02-26,5,9,4,14,12,4,4
2020-02-27,7,16,5,12,11,4,17
2020-02-28,8,19,3,18,16,21,33
2020-02-29,1,24,-9,36,16,5,49
2020-03-01,-1,47,-10,2,-4,4,14
2020-03-02,-14,17,-29,12,7,7,62
2020-03-03,5,16,1,30,20,12,36
2020-03-04,0,6,-1,9,4,6,9
2020-03-05,4,11,2,6,2,11,9
2020-03-06,-1,5,-2,3,-3,11,0
2020-03-07,-6,-6,-8,-7,-4,12,-3
2020-03-08,-7,5,-8,-5,-8,-1,0
2020-03-09,-10,-1,-12,-3,-7,3,-8
2020-03-10,-5,3,-5,6,-5,12,-3
2020-03-11,-13,5,-17,17,0,11,3
2020-03-12,-17,-4,-21,2,-10,12,3
2020-03-13,-26,-15,-29,-12,-25,4,-19
2020-03-14,-35,-18,-40,-19,-32,5,-15
2020-03-15,-48,-28,-51,-41,-55,-9,-46
2020-03-16,-51,-38,-54,-46,-48,-24,-45
2020-03-17,-52,-38,-55,-45,-51,-25,-43
2020-03-18,-59,-51,-61,-54,-57,-29,-51
2020-03-19,-60,-58,-62,-56,-60,-36,-49
2020-03-20,-61,-58,-63,-57,-64,-38,-57
2020-03-21,-61,-58,-63,-53,-64,-31,-53
2020-03-22,-63,-60,-65,-65,-66,-41,-58
2020-03-23,-74,-71,-76,-74,-77,-56,-70
2020-03-24,-73,-71,-75,-70,-76,-52,-66
2020-03-25,-86,-82,-87,-86,-86,-67,-85
2020-03-26,-76,-76,-78,-71,-77,-58,-68
2020-03-27,-77,-76,-78,-72,-80,-62,-76
2020-03-28,-74,-75,-75,-70,-81,-53,-72
2020-03-29,-76,-78,-77,-76,-83,-64,-77
2020-03-30,-68,-74,-69,-68,-75,-50,-66
2020-03-31,-70,-75,-71,-65,-74,-52,-61
2020-04-01,-72,-73,-73,-73,-75,-50,-69
2020-04-02,-70,-72,-71,-70,-77,-57,-64
2020-04-03,-73,-74,-74,-72,-77,-59,-72
2020-04-04,-78,-74,-79,-70,-83,-61,-76
2020-04-05,-80,-76,-81,-80,-87,-66,-84
2020-04-06,-72,-72,-74,-68,-76,-56,-69
2020-04-07,-72,-75,-74,-67,-75,-55,-63
2020-04-08,-69,-74,-71,-59,-73,-52,-62
2020-04-09,-67,-69,-69,-63,-72,-48,-59
2020-04-10,-66,-70,-68,-62,-74,-52,-64
2020-04-11,-65,-68,-67,-60,-75,-44,-60
