date,total
2020-02-29,0.8974668162913494
2020-03-01,-1.337058622676749
2020-03-02,-13.566931934140355
2020-03-03,5.164607533609297
2020-03-04,0.07710742354318945
2020-03-05,3.5715840616448475
2020-03-06,-0.9078008008899211
2020-03-07,-6.303730605128787
2020-03-08,-6.992927885664305
2020-03-09,-9.473084189321533
2020-03-10,-4.554107520401365
2020-03-11,-13.02638504744583
2020-03-12,-17.048689821966846
2020-03-13,-25.81349860534011
2020-03-14,-34.97894802238109
2020-03-15,-47.29069828874107
2020-03-16,-50.37579015236084
2020-03-17,-51.774852682629025
2020-03-18,-58.18033328995913
2020-03-19,-59.18749932737378
2020-03-20,-60.25746419427206
2020-03-21,-60.26620833508623
2020-03-22,-62.332210332908396
2020-03-23,-73.79657386218548
2020-03-24,-72.5080054749328
2020-03-25,-85.01212683920467
2020-03-26,-75.31566959817553
2020-03-27,-76.26639618124415
2020-03-28,-73.52312073126944
2020-03-29,-75.55812077529588
2020-03-30,-67.95866748588463
2020-03-31,-69.07632766631478
2020-04-01,-71.40465388856222
2020-04-02,-69.85932573012964
2020-04-03,-72.46031016140094
2020-04-04,-77.58437667850815
2020-04-05,-79.66627711417426
2020-04-06,-71.53740584455926
2020-04-07,-71.9960757763574
2020-04-08,-68.98093703925105
2020-04-09,-66.36405417013579
2020-04-10,-66.04290572568786
2020-04-11,-64.99996820312431
