date,total
2020-02-29,1.0725466810620958
2020-03-01,4.603443501371041
2020-03-02,-66.80956086704812
2020-03-03,1.970178410431337
2020-03-04,3.5245362766110233
2020-03-05,3.4831927425745306
2020-03-06,2.585561013205289
2020-03-07,2.4321128964929213
2020-03-08,1.6370449342526725
2020-03-09,-0.6917091271490166
2020-03-10,1.4573595747863761
2020-03-11,-11.376627471695722
2020-03-12,-13.873935941092343
2020-03-13,-19.00530456939091
2020-03-14,-25.606753859871695
2020-03-15,-36.82993321485505
2020-03-16,-38.93050277109379
2020-03-17,-43.746229418382974
2020-03-18,-47.97281070565214
2020-03-19,-49.03502150320511
2020-03-20,-49.59713455250897
2020-03-21,-44.22804060350057
2020-03-22,-40.91817267669441
2020-03-23,-56.93004636825078
2020-03-24,-57.968405126936545
2020-03-25,-83.75961475404799
2020-03-26,-57.70444256347279
2020-03-27,-58.04950205908505
2020-03-28,-52.1262457403952
2020-03-29,-52.84657731418486
2020-03-30,-54.117095917844786
2020-03-31,-55.251657899961614
2020-04-01,-56.56192990173355
2020-04-02,-56.511840620112416
2020-04-03,-56.51422582399913
2020-04-04,-53.737848499856185
2020-04-05,-55.12206182211646
2020-04-06,-55.33354990007236
2020-04-07,-56.09999541567196
2020-04-08,-55.04494022977916
2020-04-09,-54.6410457049611
2020-04-10,-54.45340966587241
2020-04-11,-46.999647519870074
