date,HK
2020-02-15,-4
2020-02-16,-12
2020-02-17,-3
2020-02-18,-5
2020-02-19,-8
2020-02-20,-11
2020-02-21,-5
2020-02-22,-1
2020-02-23,-4
2020-02-24,-7
2020-02-25,-9
2020-02-26,-11
2020-02-27,-10
2020-02-28,-6
2020-02-29,-2
2020-03-01,-5
2020-03-02,-5
2020-03-03,-4
2020-03-04,-13
2020-03-05,-9
2020-03-06,-4
2020-03-07,0
2020-03-08,-6
2020-03-09,-8
2020-03-10,-4
2020-03-11,-7
2020-03-12,-9
2020-03-13,-3
2020-03-14,-1
2020-03-15,2
2020-03-16,-3
2020-03-17,-6
2020-03-18,-14
2020-03-19,-16
2020-03-20,-4
2020-03-21,-1
2020-03-22,-2
2020-03-23,0
2020-03-24,-3
2020-03-25,-5
2020-03-26,-9
2020-03-27,1
2020-03-28,-4
2020-03-29,-7
2020-03-30,-10
2020-03-31,-11
2020-04-01,-5
2020-04-02,-5
2020-04-03,3
2020-04-04,0
2020-04-05,-16
2020-04-06,-19
2020-04-07,1
2020-04-08,-3
2020-04-09,-1
2020-04-10,7
2020-04-11,-4
