date,total
2020-02-29,-25.32604691145769
2020-03-01,-26.89169195862061
2020-03-02,-27.15862684670249
2020-03-03,-28.072119592443794
2020-03-04,-27.392794278462947
2020-03-05,-23.76599630805697
2020-03-06,-26.094084119381918
2020-03-07,-24.09287166501952
2020-03-08,-26.066911106822683
2020-03-09,-26.341038851170254
2020-03-10,-25.67130401221031
2020-03-11,-25.507466730603163
2020-03-12,-22.160390948306947
2020-03-13,-25.63853655588888
2020-03-14,-23.727634407973348
2020-03-15,-23.064293219027345
2020-03-16,-25.472301655526508
2020-03-17,-27.6325561539856
2020-03-18,-28.74345284390722
2020-03-19,-24.72344539764409
2020-03-20,-28.143248948848846
2020-03-21,-29.58182020198476
2020-03-22,-32.02099768230187
2020-03-23,-31.688527881577123
2020-03-24,-33.86236888631583
2020-03-25,-32.68034283998916
2020-03-26,-30.769440692073626
2020-03-27,-33.175850716069306
2020-03-28,-36.82982169903452
2020-03-29,-44.494209653241946
2020-03-30,-37.34451052515647
2020-03-31,-35.98106465968433
2020-04-01,-34.32750692482978
2020-04-02,-31.203409686769625
2020-04-03,-34.25717677467646
2020-04-04,-42.00388297281334
2020-04-05,-47.190731546620036
2020-04-06,-38.833431772152146
2020-04-07,-35.05078858265644
2020-04-08,-32.7322912463524
2020-04-09,-26.621560245531754
2020-04-10,-42.868624137198374
2020-04-11,-41.00007992062517
