date,HT
2020-02-15,-5
2020-02-16,-7
2020-02-17,-3
2020-02-18,-6
2020-02-19,-9
2020-02-20,-6
2020-02-21,-3
2020-02-22,-7
2020-02-23,-16
2020-02-24,-39
2020-02-25,-26
2020-02-26,-23
2020-02-27,-3
2020-02-28,-8
2020-02-29,-11
2020-03-01,-12
2020-03-02,-8
2020-03-03,-6
2020-03-04,-7
2020-03-05,-6
2020-03-06,-3
2020-03-07,-8
2020-03-08,-7
2020-03-09,-9
2020-03-10,-4
2020-03-11,-8
2020-03-12,-3
2020-03-13,-3
2020-03-14,-9
2020-03-15,-7
2020-03-16,-4
2020-03-17,-14
2020-03-18,-15
2020-03-19,-16
2020-03-20,-21
2020-03-21,-42
2020-03-22,-46
2020-03-23,-40
2020-03-24,-43
2020-03-25,-45
2020-03-26,-44
2020-03-27,-43
2020-03-28,-48
2020-03-29,-48
2020-03-30,-48
2020-03-31,-49
2020-04-01,-49
2020-04-02,-51
2020-04-03,-49
2020-04-04,-52
2020-04-05,-51
2020-04-06,-48
2020-04-07,-50
2020-04-08,-51
2020-04-09,-48
2020-04-10,-61
2020-04-11,-57
