date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,1,2,0,1,0,1,2,1,1,1,-1,-1,1,0,0,1,0,3,1,0,2,-1,1,1,1,2,-1,1,0,1,1,0,1,1,1
2020-02-16,2,1,2,2,2,2,1,2,1,1,1,0,2,2,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,2,2,2,1,3,1
2020-02-17,1,0,3,2,1,1,1,2,0,2,1,1,1,1,2,1,2,1,0,0,1,1,1,1,2,3,1,1,1,1,1,3,2,2,1
2020-02-18,1,1,8,1,1,1,1,0,1,1,1,1,1,1,0,2,0,1,1,0,2,0,1,2,2,1,2,0,1,1,1,1,2,1,0
2020-02-19,1,1,4,1,1,0,1,2,0,1,1,1,2,1,1,2,3,2,1,0,1,1,1,2,1,1,1,1,1,0,1,2,1,0,1
2020-02-20,1,0,2,1,1,1,1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,3,0,1,0
2020-02-21,1,1,3,1,0,-1,0,0,0,2,1,4,1,0,1,0,1,1,1,-1,1,0,1,2,1,1,0,0,2,0,2,2,1,2,1
2020-02-22,0,1,1,2,0,-1,1,0,0,0,-2,0,1,0,0,0,-1,0,0,0,0,-1,0,1,0,1,-1,0,-1,0,1,0,1,0,-1
2020-02-23,1,2,2,2,1,0,1,1,0,1,0,0,1,2,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,2,1,1,2,0,0
2020-02-24,1,1,3,0,1,1,1,2,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,1,2,1,1,1,0,1
2020-02-25,3,1,3,1,4,1,1,1,0,2,0,0,2,10,0,1,0,0,1,0,0,-1,0,1,1,1,0,0,1,3,1,1,0,1,0
2020-02-26,0,1,4,0,0,0,1,0,0,1,0,1,1,-1,0,1,1,0,1,-1,0,0,0,1,1,0,0,0,1,0,1,1,3,0,0
2020-02-27,0,1,2,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0
2020-02-28,1,1,7,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,1,-2,1,0,0,1,0,-1,0,0,0,1,2,2,0,0,1
