date,IL
2020-02-15,13
2020-02-16,2
2020-02-17,3
2020-02-18,2
2020-02-19,-3
2020-02-20,3
2020-02-21,5
2020-02-22,-2
2020-02-23,1
2020-02-24,0
2020-02-25,2
2020-02-26,4
2020-02-27,4
2020-02-28,7
2020-02-29,0
2020-03-01,8
2020-03-02,30
2020-03-03,0
2020-03-04,4
2020-03-05,1
2020-03-06,-5
2020-03-07,3
2020-03-08,7
2020-03-09,1
2020-03-10,-1
2020-03-11,-3
2020-03-12,-21
2020-03-13,-28
2020-03-14,-34
2020-03-15,-34
2020-03-16,-40
2020-03-17,-54
2020-03-18,-58
2020-03-19,-62
2020-03-20,-69
2020-03-21,-80
2020-03-22,-61
2020-03-23,-61
2020-03-24,-62
2020-03-25,-63
2020-03-26,-75
2020-03-27,-75
2020-03-28,-87
2020-03-29,-67
2020-03-30,-73
2020-03-31,-80
2020-04-01,-80
2020-04-02,-79
2020-04-03,-79
2020-04-04,-88
2020-04-05,-75
2020-04-06,-73
2020-04-07,-71
2020-04-08,-88
2020-04-09,-96
2020-04-10,-85
2020-04-11,-89
