date,IL
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,0
2020-02-20,1
2020-02-21,4
2020-02-22,0
2020-02-23,1
2020-02-24,-1
2020-02-25,-1
2020-02-26,1
2020-02-27,1
2020-02-28,4
2020-02-29,1
2020-03-01,0
2020-03-02,-68
2020-03-03,3
2020-03-04,2
2020-03-05,1
2020-03-06,3
2020-03-07,6
2020-03-08,0
2020-03-09,-15
2020-03-10,-35
2020-03-11,-20
2020-03-12,-3
2020-03-13,-25
2020-03-14,-7
2020-03-15,-33
2020-03-16,-37
2020-03-17,-41
2020-03-18,-50
2020-03-19,-52
2020-03-20,-55
2020-03-21,-41
2020-03-22,-55
2020-03-23,-55
2020-03-24,-56
2020-03-25,-57
2020-03-26,-59
2020-03-27,-59
2020-03-28,-46
2020-03-29,-59
2020-03-30,-60
2020-03-31,-60
2020-04-01,-61
2020-04-02,-60
2020-04-03,-57
2020-04-04,-42
2020-04-05,-60
2020-04-06,-60
2020-04-07,-62
2020-04-08,-84
2020-04-09,-92
2020-04-10,-63
2020-04-11,-45
