date,total
2020-02-29,NA
2020-03-01,2.7903288740144663
2020-03-02,-4.746114624575836
2020-03-03,0.7618699902145966
2020-03-04,3.5306365060154423
2020-03-05,-0.2755190216184862
2020-03-06,-5.364235560032961
2020-03-07,3.3477557641295483
2020-03-08,1.4079421307634525
2020-03-09,-5.903294515373479
2020-03-10,-8.023593073046177
2020-03-11,-7.959704604265078
2020-03-12,-14.055463131841616
2020-03-13,-25.13771664778287
2020-03-14,-17.602870360912096
2020-03-15,-28.92710145236176
2020-03-16,-30.697610643457946
2020-03-17,-44.11259187576905
2020-03-18,-49.959983980959066
2020-03-19,-53.70704267497048
2020-03-20,-59.07766708188155
2020-03-21,-53.29096902203358
2020-03-22,-54.85623650717048
2020-03-23,-52.10823374372349
2020-03-24,-53.37162821386971
2020-03-25,-55.206025873746995
2020-03-26,-63.82218449473786
2020-03-27,-62.756844277813045
2020-03-28,-64.91308009917512
2020-03-29,-60.65171923147586
2020-03-30,-61.288208101707546
2020-03-31,-59.500928187556326
2020-04-01,-60.441685890357995
2020-04-02,-58.62645477111504
2020-04-03,-55.267518524948805
2020-04-04,-57.72083572614298
2020-04-05,-56.56525304706486
2020-04-06,-52.20007341759633
2020-04-07,-49.07672590006039
2020-04-08,-72.69309838499336
2020-04-09,-83.65316520439075
2020-04-10,-63.68402568099874
2020-04-11,-59.00020231348447
