date,total
2020-02-29,-0.8246569508164788
2020-03-01,0.6655409671623689
2020-03-02,2.7833181709241788
2020-03-03,2.9480880220177745
2020-03-04,0.903003399620787
2020-03-05,2.654894610512993
2020-03-06,-0.3222704440507102
2020-03-07,1.7995452364535898
2020-03-08,1.7292757411342619
2020-03-09,4.099053893627454
2020-03-10,-3.6572445379990364
2020-03-11,-1.8132760573780562
2020-03-12,1.9101994991978186
2020-03-13,-0.12519277901719317
2020-03-14,-5.643367399955669
2020-03-15,-6.5576785344554285
2020-03-16,-1.4901979179788478
2020-03-17,-2.1783543548991613
2020-03-18,-5.922022295187486
2020-03-19,-6.954256950567956
2020-03-20,-12.802778969042123
2020-03-21,-22.89574004387339
2020-03-22,-58.17506517091842
2020-03-23,-35.4142102502442
2020-03-24,-44.912707548580926
2020-03-25,-53.304662219475354
2020-03-26,-51.464732215596875
2020-03-27,-52.367735615217654
2020-03-28,-54.87482197695551
2020-03-29,-57.06529176208215
2020-03-30,-51.67877148294884
2020-03-31,-50.70388319731174
2020-04-01,-52.465466752385915
2020-04-02,-51.7361178526922
2020-04-03,-51.00838434369549
2020-04-04,-53.951626193622275
2020-04-05,-56.60652080413527
2020-04-06,-50.13849645336312
2020-04-07,-46.66217567342764
2020-04-08,-48.69433717024866
2020-04-09,-48.46252860522973
2020-04-10,-48.912414914343124
2020-04-11,-52.000234231651056
