date,total
2020-02-29,11.768072724349034
2020-03-01,7.018015905963681
2020-03-02,8.577486545684966
2020-03-03,11.330242784662099
2020-03-04,10.761063863069083
2020-03-05,0.2897638146291719
2020-03-06,-1.8014711882027914
2020-03-07,2.392143579562257
2020-03-08,3.9651471446920477
2020-03-09,-0.8485940285568607
2020-03-10,-1.3596609763368837
2020-03-11,-5.099524715699108
2020-03-12,-14.145887324066992
2020-03-13,-20.76109968551869
2020-03-14,-27.490147831288997
2020-03-15,-23.747099874183593
2020-03-16,-29.396698205016648
2020-03-17,-32.19244138352668
2020-03-18,-57.88271013548448
2020-03-19,-61.54774475788202
2020-03-20,-63.50763077880791
2020-03-21,-66.90041478416376
2020-03-22,-64.61096222681898
2020-03-23,-66.25322252786289
2020-03-24,-65.75887272323455
2020-03-25,-66.60428253404824
2020-03-26,-68.29191793793241
2020-03-27,-67.96712772812829
2020-03-28,-67.43934363719659
2020-03-29,-63.878592145888106
2020-03-30,-65.18093720284779
2020-03-31,-61.34793509449762
2020-04-01,-62.92332682293479
2020-04-02,-64.60379773689684
2020-04-03,-64.71842957565124
2020-04-04,-64.16198752503092
2020-04-05,-64.68021896273311
2020-04-06,-66.35750565895196
2020-04-07,-61.13618461457631
2020-04-08,-61.78496897974877
2020-04-09,-65.69678047724258
2020-04-10,-63.832420988612036
2020-04-11,-60.00021493469765
