date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,35,36,27,4,12,12,23,25,45,43,41,50,32,25,23,23,20,22,75,55,54
2020-02-16,26,47,14,73,38,32,30,39,36,37,-10,13,49,63,5,32,27,16,30,39,48
2020-02-17,7,11,14,13,10,18,3,14,3,13,-20,-14,12,12,3,14,6,5,9,19,11
2020-02-18,16,22,25,15,21,13,7,6,22,11,19,32,14,17,22,7,14,26,21,26,28
2020-02-19,11,-12,10,4,5,-2,-4,12,12,-2,10,19,0,-9,15,0,5,11,9,2,23
2020-02-20,18,-3,31,-7,-5,4,4,19,19,21,20,19,33,-13,23,20,9,26,28,14,33
2020-02-21,19,6,29,5,14,7,6,11,21,21,50,20,14,8,25,5,19,13,28,18,36
2020-02-22,30,34,33,-3,8,-1,17,22,49,40,42,37,26,18,28,23,15,33,71,56,48
2020-02-23,23,54,43,76,62,27,29,29,21,28,-8,12,56,61,17,43,35,31,20,32,17
2020-02-24,22,25,62,28,32,13,2,25,22,17,15,28,22,9,31,33,12,38,20,35,14
2020-02-25,20,50,80,28,33,27,17,24,3,12,9,8,57,14,3,74,35,19,32,20,9
2020-02-26,-6,-10,7,0,-5,-8,-14,-16,-18,-7,2,-5,-10,-8,-12,-6,-1,-2,-19,-11,-6
2020-02-27,-1,-1,2,-16,-3,-12,-4,3,5,0,5,7,11,-8,-2,-6,-5,4,-17,2,2
2020-02-28,11,-3,36,-18,-15,-13,-9,12,14,5,66,32,5,-9,24,4,-4,10,21,12,10
2020-02-29,2,21,7,4,2,10,12,4,16,13,-20,-12,13,12,-8,17,3,-3,18,25,-2
2020-03-01,-30,-2,6,23,19,44,-16,-39,-71,-40,-42,-38,-21,6,3,-18,27,-45,-58,-32,-65
2020-03-02,-26,-6,-21,4,1,20,-16,-25,-21,-29,-47,-53,-8,-17,-38,-24,0,-36,-34,-22,-40
2020-03-03,-9,-3,5,-4,-5,-12,-16,-20,-11,-24,22,16,-1,-4,21,-9,-7,-19,-18,-17,-21
2020-03-04,8,-4,7,7,1,1,-9,-6,-3,-8,20,46,-16,-15,25,8,-17,0,0,-5,3
2020-03-05,-12,13,-31,4,14,3,-1,-13,2,-7,-36,-31,7,-4,-23,7,2,-24,-27,-5,-15
2020-03-06,-8,-3,5,-14,-11,-13,-25,-9,-21,-15,41,1,-8,-20,4,-10,-3,-10,-9,-14,-9
2020-03-07,2,-17,2,-28,-35,-37,-29,-8,25,-3,32,54,-22,-28,26,-13,-29,9,14,-2,8
2020-03-08,1,-13,-24,-15,-23,-33,-20,26,41,11,3,16,1,-13,-2,15,-29,6,13,7,12
