date,JM
2020-02-15,-1
2020-02-16,-2
2020-02-17,-1
2020-02-18,0
2020-02-19,-1
2020-02-20,0
2020-02-21,-4
2020-02-22,-4
2020-02-23,-4
2020-02-24,0
2020-02-25,15
2020-02-26,-47
2020-02-27,11
2020-02-28,5
2020-02-29,2
2020-03-01,4
2020-03-02,6
2020-03-03,7
2020-03-04,6
2020-03-05,5
2020-03-06,4
2020-03-07,3
2020-03-08,2
2020-03-09,0
2020-03-10,19
2020-03-11,19
2020-03-12,19
2020-03-13,13
2020-03-14,1
2020-03-15,-17
2020-03-16,-8
2020-03-17,-7
2020-03-18,-18
2020-03-19,-19
2020-03-20,-20
2020-03-21,-17
2020-03-22,-30
2020-03-23,-23
2020-03-24,-23
2020-03-25,-21
2020-03-26,-20
2020-03-27,-19
2020-03-28,-23
2020-03-29,-36
2020-03-30,-26
2020-03-31,-20
2020-04-01,-31
2020-04-02,-32
2020-04-03,-31
2020-04-04,-31
2020-04-05,-39
2020-04-06,-31
2020-04-07,-29
2020-04-08,-25
2020-04-09,3
2020-04-10,-83
2020-04-11,-39
