date,JM
2020-02-15,0
2020-02-16,5
2020-02-17,1
2020-02-18,0
2020-02-19,2
2020-02-20,1
2020-02-21,-1
2020-02-22,-1
2020-02-23,0
2020-02-24,0
2020-02-25,8
2020-02-26,-22
2020-02-27,4
2020-02-28,1
2020-02-29,3
2020-03-01,3
2020-03-02,2
2020-03-03,1
2020-03-04,2
2020-03-05,0
2020-03-06,1
2020-03-07,3
2020-03-08,-2
2020-03-09,-3
2020-03-10,0
2020-03-11,-4
2020-03-12,-6
2020-03-13,-15
2020-03-14,-17
2020-03-15,-26
2020-03-16,-26
2020-03-17,-27
2020-03-18,-31
2020-03-19,-34
2020-03-20,-30
2020-03-21,-27
2020-03-22,-42
2020-03-23,-36
2020-03-24,-37
2020-03-25,-37
2020-03-26,-38
2020-03-27,-39
2020-03-28,-39
2020-03-29,-50
2020-03-30,-42
2020-03-31,-40
2020-04-01,-46
2020-04-02,-47
2020-04-03,-47
2020-04-04,-45
2020-04-05,-55
2020-04-06,-47
2020-04-07,-44
2020-04-08,-42
2020-04-09,-29
2020-04-10,-75
2020-04-11,-53
