date,total
2020-02-29,-8.126302784953339
2020-03-01,-5.5736165941408595
2020-03-02,-4.510726081180322
2020-03-03,-4.935246301016468
2020-03-04,-4.625203443832765
2020-03-05,-5.924998498949055
2020-03-06,-5.044953773558393
2020-03-07,0.11606732602261666
2020-03-08,-9.108105166035063
2020-03-09,-9.841873261369825
2020-03-10,-6.669101356189939
2020-03-11,-9.911036667972343
2020-03-12,-9.964300440873133
2020-03-13,-17.246332676264696
2020-03-14,-20.083622310338118
2020-03-15,-28.004024838854072
2020-03-16,-27.474567036586524
2020-03-17,-30.811900150579294
2020-03-18,-38.45405908931501
2020-03-19,-37.16380381441975
2020-03-20,-39.53761912608779
2020-03-21,-39.00577637876498
2020-03-22,-46.492118907223755
2020-03-23,-42.09984509712131
2020-03-24,-44.55077363224272
2020-03-25,-44.00382623290327
2020-03-26,-40.79925506031993
2020-03-27,-40.59414978556764
2020-03-28,-43.301062423286886
2020-03-29,-50.026607479117956
2020-03-30,-44.4235765626289
2020-03-31,-45.08420634293571
2020-04-01,-51.0076148785146
2020-04-02,-50.09020601392487
2020-04-03,-48.80631059251031
2020-04-04,-47.48028114178617
2020-04-05,-53.288417333027525
2020-04-06,-46.884044877971355
2020-04-07,-48.81903029947169
2020-04-08,-45.58981469465067
2020-04-09,-34.066555169323074
2020-04-10,-71.56743121821947
2020-04-11,-57.000186820695994
