date,total
2020-02-29,0.9352743360235953
2020-03-01,1.0241941086792525
2020-03-02,-0.5424106131995095
2020-03-03,-0.384780107128117
2020-03-04,1.5003190731718177
2020-03-05,1.4113993005161602
2020-03-06,-0.419539654620783
2020-03-07,-1.6506743251168379
2020-03-08,-4.464580948883593
2020-03-09,-6.571979560822671
2020-03-10,-5.979450530308155
2020-03-11,-5.1177370971178755
2020-03-12,-5.28264285731564
2020-03-13,-5.479883080297279
2020-03-14,-11.308169997090816
2020-03-15,-13.192460815821153
2020-03-16,-13.514997082090312
2020-03-17,-19.236580271697058
2020-03-18,-23.017287332701688
2020-03-19,-26.693715751228318
2020-03-20,-28.33873154535798
2020-03-21,-33.00621124821039
2020-03-22,-36.28169232821697
2020-03-23,-34.97052986233082
2020-03-24,-35.90257075207602
2020-03-25,-35.962389508226195
2020-03-26,-37.53869456894012
2020-03-27,-38.68171782835011
2020-03-28,-40.95887236990453
2020-03-29,-43.177824878447986
2020-03-30,-38.967877823987415
2020-03-31,-38.18376710147843
2020-04-01,-37.111071298623365
2020-04-02,-37.17574022419112
2020-04-03,-37.315586775731376
2020-04-04,-41.060725927673744
2020-04-05,-41.625770664821964
2020-04-06,-36.98658361690545
2020-04-07,-38.268645066286105
2020-04-08,-36.65677209650992
2020-04-09,-38.18134201676964
2020-04-10,-41.38892072493008
2020-04-11,-43.99992859472801
