date,KR
2020-02-15,1
2020-02-16,-3
2020-02-17,0
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,0
2020-02-22,-4
2020-02-23,-9
2020-02-24,-6
2020-02-25,-10
2020-02-26,-11
2020-02-27,-10
2020-02-28,-12
2020-02-29,-10
2020-03-01,-16
2020-03-02,-8
2020-03-03,-9
2020-03-04,-11
2020-03-05,-9
2020-03-06,-9
2020-03-07,-8
2020-03-08,-14
2020-03-09,-6
2020-03-10,-9
2020-03-11,-8
2020-03-12,-7
2020-03-13,-7
2020-03-14,-5
2020-03-15,-12
2020-03-16,-6
2020-03-17,-6
2020-03-18,-7
2020-03-19,-7
2020-03-20,-6
2020-03-21,-5
2020-03-22,-12
2020-03-23,-5
2020-03-24,-6
2020-03-25,-8
2020-03-26,-7
2020-03-27,-8
2020-03-28,-7
2020-03-29,-12
2020-03-30,-6
2020-03-31,-5
2020-04-01,-8
2020-04-02,-6
2020-04-03,-6
2020-04-04,-8
2020-04-05,-13
2020-04-06,-3
2020-04-07,-4
2020-04-08,-6
2020-04-09,-4
2020-04-10,-5
2020-04-11,-7
