date,total,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-29,1.567938128915068,2.8713599999999997,1.557306004938211,2.9262656092155477,0.36015271500181273,-0.20366190202924447,-2.2924829709543277
2020-03-01,-1.0199516717386907,0.6393599999999999,-3.2732088177412955,1.854948242849313,-0.7679446780197383,-3.1269787316282587,-6.4036371923525905
2020-03-02,-0.9027522560420087,1.22304,-2.429588448195013,2.497157477841007,-1.7855190156439076,-3.1596414895008733,-3.23149165342038
2020-03-03,-1.1355673115475795,-0.12479999999999998,-3.213973865406222,1.335756463127521,-2.510588370449144,-3.314309254721196,-8.689419795542124
2020-03-04,-1.2400965201419174,1.00416,-2.806017016259832,1.462648483917735,-1.332946159490836,-4.256725886281049,-9.73276277605996
2020-03-05,-0.42207627409683396,0.4550399999999999,-1.1111330575111285,1.6999656220368375,-0.7422194840910373,-3.4853083988778257,-5.76135908232739
2020-03-06,-0.03880250925092845,1.3199999999999998,1.324187805425988,2.5514013951253736,-1.6892877346513597,-3.042439828899138,-0.8270168212545049
2020-03-07,2.0779139647844134,4.000319999999999,2.4066587892265976,2.886551312632351,1.2605345025063446,0.3554476592019833,-4.202087783920459
2020-03-08,-0.5337324741862404,1.6195199999999998,-2.352200849176611,2.1203559809906767,-0.9213430566316214,-2.6456833876817893,-6.860219395753514
2020-03-09,-1.7112698467603342,1.1385599999999998,-3.644860373521028,1.1827111250752016,-3.1251346698569993,-3.5679259629085567,-5.308605660506347
2020-03-10,-2.1483919917912018,-1.0003199999999999,-4.719688137665499,0.06489897246522401,-2.510588370449144,-4.226945136456018,-10.426729437413568
2020-03-11,-2.3495315295409127,-0.08351999999999998,-2.906334274246649,0.390362476171422,-2.9622084416418937,-5.753448732326157,-11.896024368693272
2020-03-12,-18.03841547401835,-15.584639999999998,-19.601036808167077,-13.434087300301368,-11.867889465774018,-25.268485891864238,-32.34937556842274
2020-03-13,-9.266672719476832,-7.065599999999999,-8.325377010448817,-7.436259874858576,-5.067863203954079,-15.458130497889497,-7.446980172870426
2020-03-14,-12.92677879616645,-10.153919999999998,-12.741247166782811,-12.386985968437083,-6.844807154955086,-18.33725653742556,-14.898746322715704
2020-03-15,-27.38269321199704,-21.994559999999996,-32.116808995093805,-21.763434527591834,-18.74318573945942,-36.2547005692531,-42.53584896169872
2020-03-16,-31.340549155591738,-24.53664,-37.25687421384692,-25.857881641181415,-22.171306026698893,-41.08110337960652,-41.083783547528476
2020-03-17,-32.35099817200367,-26.291519999999995,-39.46672009692795,-26.99990982829334,-24.22169926131239,-42.34150156574977,-44.96616806952879
2020-03-18,-34.626884122762206,-27.77088,-41.69280782177828,-29.41860735434803,-24.58947425599678,-45.19565020220678,-47.583140279378114
2020-03-19,-32.832466041892744,-27.366719999999997,-39.303346276777994,-27.390272304464762,-22.846830563567373,-44.03612229772895,-41.43411706208768
2020-03-20,-24.197719901645318,-20.807039999999997,-27.81272092623084,-22.30877962457573,-11.825014142559517,-34.699376892907125,-18.617450432176064
2020-03-21,-24.53506416574523,-18.871679999999998,-28.73755050462359,-23.93222257758641,-15.130225169917425,-33.72910085022063,-21.393317077590492
2020-03-22,-58.48409220853203,-55.58399999999999,-58.60820832326971,-56.54540920343158,-40.71345413953032,-68.69458315285466,-60.830724545769726
2020-03-23,-40.26354250741749,-32.75711999999999,-46.469820106864816,-34.82750082070341,-31.247535558728703,-51.105688038451646,-50.08429184643601
2020-03-24,-40.70145654039226,-32.87519999999999,-48.103558308364406,-35.95693666987433,-32.93491772345942,-51.64078086595301,-53.43830451041262
2020-03-25,-41.23756467841019,-33.249599999999994,-48.00706266020566,-36.47225388407581,-31.107476169561334,-52.57935482011608,-52.7740109063031
2020-03-26,-40.53911951189347,-33.19584,-46.376190666077115,-36.64079748420938,-30.560577602336362,-51.94531304964768,-50.075677087881274
2020-03-27,-35.33324816871789,-28.959359999999997,-39.54315229348934,-35.57722924888377,-22.80586081027352,-46.62224418576068,-31.856419940012934
2020-03-28,-34.089984096800386,-25.9488,-40.06289123010675,-33.513054467937614,-24.13690139984371,-45.513631756790176,-32.47189657897896
2020-03-29,-41.78000791997928,-33.717119999999994,-49.300677587007094,-37.530978912501034,-31.34186126980061,-52.474641861053875,-51.91253505082965
2020-03-30,-43.36695135954787,-34.359359999999995,-50.51977112216118,-38.47443561669697,-34.372670228585704,-54.60540647756739,-53.315783499856394
2020-03-31,-43.98541584373103,-36.04127999999999,-51.81911846370472,-39.93030361095416,-33.968689405409066,-54.78601231521596,-56.91388098955047
2020-04-01,-45.05050512827183,-36.59519999999999,-51.01371419243913,-41.64092428817186,-33.92200294235328,-56.33749331416516,-54.936315303541434
2020-04-02,-45.77112315721764,-38.03231999999999,-52.13535667697745,-43.47165649651922,-33.527549968779866,-56.43548158778301,-54.50653457119969
2020-04-03,-37.89500566722306,-31.987199999999994,-42.75999236626661,-38.20224738889507,-24.495148544924877,-48.92496861578002,-35.166401615820895
2020-04-04,-39.128767083813806,-29.949119999999994,-45.01760837219851,-40.407843811332604,-27.19915226231944,-50.44090484880902,-34.764379549933295
2020-04-05,-47.06190050576893,-38.789759999999994,-54.20953541116202,-45.21617962203965,-34.567991145451764,-56.66700290093889,-53.512965751220314
2020-04-06,-48.407318122449084,-39.966719999999995,-55.27863076056439,-46.88514871991399,-35.265429736407654,-57.629593588831824,-54.008792965815026
2020-04-07,-55.356926718084765,-52.66655999999999,-57.041348293761324,-60.31826737883528,-37.51400224276818,-58.7093859373265,-55.82746421625896
2020-04-08,-55.483628789108195,-52.11167999999999,-57.12733451489288,-59.48717307472838,-37.77411253693616,-59.729616786171114,-57.96488153322807
2020-04-09,-54.73371090623821,-52.58399999999999,-55.468755849510835,-59.45520790918581,-36.346840666373424,-58.64790309897805,-54.72860390283284
2020-04-10,-43.173730701237126,-42.391679999999994,-46.16600212553331,-45.85742021565126,-25.97387080334502,-49.74730157869055,-33.92587638393914
2020-04-11,-48.000287719286284,-46.000319999999995,-47.000068470509426,-55.00042620220722,-28.999915837328505,-51.000014410040244,-33.99958042935187
