date,KZ
2020-02-15,5
2020-02-16,-2
2020-02-17,0
2020-02-18,-1
2020-02-19,-5
2020-02-20,2
2020-02-21,5
2020-02-22,6
2020-02-23,3
2020-02-24,0
2020-02-25,3
2020-02-26,-1
2020-02-27,-4
2020-02-28,5
2020-02-29,10
2020-03-01,9
2020-03-02,5
2020-03-03,8
2020-03-04,9
2020-03-05,17
2020-03-06,17
2020-03-07,21
2020-03-08,20
2020-03-09,0
2020-03-10,7
2020-03-11,9
2020-03-12,15
2020-03-13,14
2020-03-14,13
2020-03-15,10
2020-03-16,6
2020-03-17,8
2020-03-18,10
2020-03-19,-2
2020-03-20,-2
2020-03-21,-9
2020-03-22,-17
2020-03-23,-24
2020-03-24,-21
2020-03-25,-23
2020-03-26,-16
2020-03-27,-13
2020-03-28,-21
2020-03-29,-24
2020-03-30,-27
2020-03-31,-28
2020-04-01,-36
2020-04-02,-37
2020-04-03,-35
2020-04-04,-38
2020-04-05,-43
2020-04-06,-36
2020-04-07,-44
2020-04-08,-45
2020-04-09,-44
2020-04-10,-36
2020-04-11,-36
