date,KZ
2020-02-15,-1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,0
2020-02-21,-2
2020-02-22,-1
2020-02-23,-1
2020-02-24,0
2020-02-25,-1
2020-02-26,-1
2020-02-27,2
2020-02-28,-2
2020-02-29,-1
2020-03-01,-2
2020-03-02,-1
2020-03-03,-2
2020-03-04,-2
2020-03-05,-2
2020-03-06,-4
2020-03-07,-2
2020-03-08,-4
2020-03-09,10
2020-03-10,-1
2020-03-11,-2
2020-03-12,-1
2020-03-13,-2
2020-03-14,-1
2020-03-15,-1
2020-03-16,3
2020-03-17,3
2020-03-18,3
2020-03-19,8
2020-03-20,9
2020-03-21,7
2020-03-22,4
2020-03-23,17
2020-03-24,16
2020-03-25,16
2020-03-26,11
2020-03-27,12
2020-03-28,11
2020-03-29,9
2020-03-30,16
2020-03-31,16
2020-04-01,18
2020-04-02,20
2020-04-03,20
2020-04-04,15
2020-04-05,12
2020-04-06,19
2020-04-07,19
2020-04-08,19
2020-04-09,21
2020-04-10,21
2020-04-11,14
