date,KZ
2020-02-15,6
2020-02-16,2
2020-02-17,8
2020-02-18,9
2020-02-19,3
2020-02-20,8
2020-02-21,11
2020-02-22,7
2020-02-23,6
2020-02-24,9
2020-02-25,10
2020-02-26,8
2020-02-27,3
2020-02-28,12
2020-02-29,10
2020-03-01,9
2020-03-02,11
2020-03-03,11
2020-03-04,10
2020-03-05,12
2020-03-06,15
2020-03-07,4
2020-03-08,5
2020-03-09,-52
2020-03-10,11
2020-03-11,9
2020-03-12,10
2020-03-13,13
2020-03-14,11
2020-03-15,6
2020-03-16,-14
2020-03-17,-17
2020-03-18,-21
2020-03-19,-29
2020-03-20,-29
2020-03-21,-27
2020-03-22,-16
2020-03-23,-62
2020-03-24,-58
2020-03-25,-56
2020-03-26,-33
2020-03-27,-33
2020-03-28,-26
2020-03-29,-17
2020-03-30,-45
2020-03-31,-48
2020-04-01,-53
2020-04-02,-54
2020-04-03,-53
2020-04-04,-45
2020-04-05,-36
2020-04-06,-54
2020-04-07,-58
2020-04-08,-59
2020-04-09,-58
2020-04-10,-55
2020-04-11,-44
