date,total
2020-02-29,5.940129014956413
2020-03-01,10.064608237836136
2020-03-02,6.690478234272731
2020-03-03,4.450010337550577
2020-03-04,4.652653456433184
2020-03-05,9.142541355530941
2020-03-06,8.032480254503326
2020-03-07,1.0962260286541015
2020-03-08,9.25647724566574
2020-03-09,-2.797939930595992
2020-03-10,5.573092683165024
2020-03-11,5.785501735487756
2020-03-12,8.756786984645977
2020-03-13,8.416606969814936
2020-03-14,8.626574538777636
2020-03-15,7.401763719828548
2020-03-16,5.575534166525055
2020-03-17,3.805458730502286
2020-03-18,0.4858551886462499
2020-03-19,0.426445760218819
2020-03-20,-0.11556354570815323
2020-03-21,-7.310615007720709
2020-03-22,-5.472991865403736
2020-03-23,-13.907503046525568
2020-03-24,-11.99826305898101
2020-03-25,-14.543916375707088
2020-03-26,-6.338904630428209
2020-03-27,-8.70470200629864
2020-03-28,-19.026479824724753
2020-03-29,-19.85332885598872
2020-03-30,-18.473076929784302
2020-03-31,-19.380494911929304
2020-04-01,-25.770670692918173
2020-04-02,-26.06690400726865
2020-04-03,-25.480134173074436
2020-04-04,-28.58488717924771
2020-04-05,-30.964519627491654
2020-04-06,-26.510440151007693
2020-04-07,-30.96370579970497
2020-04-08,-34.084735361611784
2020-04-09,-31.045088578372688
2020-04-10,-27.843490065584838
2020-04-11,-27.99974500062685
