date,total
2020-02-29,-7.201806223286681
2020-03-01,-7.081350669485586
2020-03-02,-3.4684817743520697
2020-03-03,-3.6096780195361355
2020-03-04,-4.3092774942617025
2020-03-05,-5.499474092084446
2020-03-06,-6.341865249792768
2020-03-07,-11.217523162589421
2020-03-08,-10.549832443837655
2020-03-09,-4.191215097158642
2020-03-10,-3.6096780195361355
2020-03-11,-8.321803557967064
2020-03-12,-9.406701261076266
2020-03-13,-11.739231322761054
2020-03-14,-17.86571246973067
2020-03-15,-17.19722403207956
2020-03-16,-11.416952887425673
2020-03-17,-14.588683231221403
2020-03-18,-15.90093082064393
2020-03-19,-12.446010267580727
2020-03-20,-9.175362780266218
2020-03-21,-17.726909381244642
2020-03-22,-26.301589830304067
2020-03-23,-21.3884391292382
2020-03-24,-24.96620839280054
2020-03-25,-28.829561022328384
2020-03-26,-33.575988473431146
2020-03-27,-39.2653196635597
2020-03-28,-45.84091655086056
2020-03-29,-46.53333655549201
2020-03-30,-41.47579873364471
2020-03-31,-36.24595362953887
2020-04-01,-57.95667119411245
2020-04-02,-62.08646193602153
2020-04-03,-65.03722414469868
2020-04-04,-67.58434059030728
2020-04-05,-66.76588099957931
2020-04-06,-65.60918859552905
2020-04-07,-64.37112886374561
2020-04-08,-65.68417417206749
2020-04-09,-67.15197694686229
2020-04-10,-67.33146369921492
2020-04-11,-67.99995213686603
