date,LB
2020-02-15,17
2020-02-16,8
2020-02-17,0
2020-02-18,3
2020-02-19,3
2020-02-20,10
2020-02-21,4
2020-02-22,-9
2020-02-23,3
2020-02-24,-4
2020-02-25,-1
2020-02-26,5
2020-02-27,12
2020-02-28,17
2020-02-29,-10
2020-03-01,3
2020-03-02,0
2020-03-03,9
2020-03-04,20
2020-03-05,27
2020-03-06,-6
2020-03-07,11
2020-03-08,30
2020-03-09,5
2020-03-10,-1
2020-03-11,1
2020-03-12,-19
2020-03-13,-31
2020-03-14,-28
2020-03-15,-31
2020-03-16,-38
2020-03-17,-51
2020-03-18,-51
2020-03-19,-50
2020-03-20,-51
2020-03-21,-48
2020-03-22,-60
2020-03-23,-55
2020-03-24,-54
2020-03-25,-49
2020-03-26,-43
2020-03-27,-47
2020-03-28,-58
2020-03-29,-59
2020-03-30,-52
2020-03-31,-46
2020-04-01,-51
2020-04-02,-39
2020-04-03,-40
2020-04-04,-41
2020-04-05,-47
2020-04-06,-45
2020-04-07,-41
2020-04-08,-39
2020-04-09,-37
2020-04-10,-51
2020-04-11,-45
