date,total
2020-02-29,1.5856733669335248
2020-03-01,6.538035772787755
2020-03-02,3.445774992383725
2020-03-03,6.4676492742056695
2020-03-04,8.349104107090884
2020-03-05,8.498576559135989
2020-03-06,-2.9886581813674766
2020-03-07,3.89102891038052
2020-03-08,3.1057053924927445
2020-03-09,1.340506911198167
2020-03-10,3.344544971951061
2020-03-11,20.696794021271995
2020-03-12,-1.4781164702238194
2020-03-13,-15.544344153156326
2020-03-14,-14.59056755439232
2020-03-15,-15.636083859173427
2020-03-16,-26.491421831507374
2020-03-17,-35.48507645932186
2020-03-18,-32.743166452759006
2020-03-19,-35.91688576522994
2020-03-20,-33.66768124874169
2020-03-21,-30.57700218740692
2020-03-22,-46.47327883347368
2020-03-23,-41.37618913278212
2020-03-24,-39.73990075563227
2020-03-25,-39.155455559540556
2020-03-26,-37.29614479362499
2020-03-27,-41.42759500253309
2020-03-28,-46.161680176829385
2020-03-29,-47.34480604063614
2020-03-30,-38.504578162539914
2020-03-31,-32.43631295332249
2020-04-01,-34.35256560573143
2020-04-02,-30.571466170664507
2020-04-03,-29.40178491894646
2020-04-04,-33.36873634465148
2020-04-05,-38.21907787053841
2020-04-06,-38.00159149851512
2020-04-07,-30.27173040703967
2020-04-08,-28.870327311674977
2020-04-09,-28.403720186243167
2020-04-10,-38.46345346673914
2020-04-11,-31.00011203843407
