date,LK
2020-02-15,5
2020-02-16,3
2020-02-17,4
2020-02-18,4
2020-02-19,6
2020-02-20,10
2020-02-21,18
2020-02-22,12
2020-02-23,5
2020-02-24,4
2020-02-25,4
2020-02-26,6
2020-02-27,4
2020-02-28,5
2020-02-29,6
2020-03-01,1
2020-03-02,2
2020-03-03,1
2020-03-04,3
2020-03-05,4
2020-03-06,8
2020-03-07,13
2020-03-08,24
2020-03-09,31
2020-03-10,3
2020-03-11,6
2020-03-12,3
2020-03-13,-2
2020-03-14,-6
2020-03-15,-13
2020-03-16,-14
2020-03-17,-17
2020-03-18,-18
2020-03-19,-24
2020-03-20,-28
2020-03-21,-56
2020-03-22,-59
2020-03-23,-41
2020-03-24,-35
2020-03-25,-49
2020-03-26,-38
2020-03-27,-47
2020-03-28,-56
2020-03-29,-57
2020-03-30,-39
2020-03-31,-47
2020-04-01,-41
2020-04-02,-48
2020-04-03,-50
2020-04-04,-55
2020-04-05,-55
2020-04-06,-36
2020-04-07,-47
2020-04-08,-46
2020-04-09,-36
2020-04-10,-48
2020-04-11,-53
