date,LT,Alytus County,Kaunas County,Klaipėda County,Marijampolė County,Panevėžys County,Šiauliai County,Tauragė County,Telšiai County,Utena County,Vilnius County
2020-02-15,9,0,6,17,-7,9,20,0,0,16,9
2020-02-16,14,0,23,8,-2,10,11,0,0,0,14
2020-02-17,0,0,-3,8,-2,-6,11,0,0,0,0
2020-02-18,0,0,-2,6,0,-5,11,0,0,0,1
2020-02-19,-1,0,0,4,0,-5,6,0,0,0,-2
2020-02-20,2,0,2,7,5,-5,15,0,0,0,1
2020-02-21,-1,0,0,-1,-6,-11,6,0,0,8,-1
2020-02-22,1,0,4,-16,-7,12,0,0,0,10,4
2020-02-23,1,0,7,-1,-2,8,6,0,0,0,1
2020-02-24,4,0,5,-5,4,-1,4,0,0,0,4
2020-02-25,3,0,1,-2,0,-8,11,0,0,0,5
2020-02-26,3,0,5,-4,2,-4,11,0,0,-2,5
2020-02-27,0,0,1,-12,0,-2,3,0,0,0,1
2020-02-28,-2,0,2,-2,0,-6,1,0,0,8,-4
2020-02-29,-2,0,0,0,-8,5,6,0,0,10,-5
2020-03-01,0,0,0,8,2,10,11,0,0,0,-3
2020-03-02,2,0,1,3,6,-2,-5,0,0,0,1
2020-03-03,1,0,0,0,2,0,12,0,0,0,2
2020-03-04,-2,0,0,-5,1,-9,11,0,0,-2,-2
2020-03-05,2,0,4,-2,3,2,15,0,0,0,1
2020-03-06,8,0,6,4,5,-1,14,0,0,15,9
2020-03-07,5,0,5,-7,-3,2,10,0,0,14,7
2020-03-08,13,0,12,19,4,0,0,0,0,0,12
2020-03-09,1,0,1,4,7,-3,4,0,0,0,-1
2020-03-10,9,0,8,15,14,6,23,0,0,0,8
2020-03-11,-32,0,-27,-14,-23,-44,-20,0,0,-22,-36
2020-03-12,-6,0,-5,-10,7,-2,12,0,0,0,-8
2020-03-13,-18,0,-17,-12,-9,-11,-2,0,0,-2,-22
2020-03-14,-27,0,-26,-24,-14,-5,10,0,0,-10,-33
2020-03-15,-19,0,-20,-18,-1,-4,2,0,0,0,-23
2020-03-16,-42,0,-47,-30,-8,-48,-12,0,0,0,-46
2020-03-17,-44,0,-51,-29,11,-46,-2,0,0,0,-49
2020-03-18,-48,0,-50,-37,14,-54,-17,0,0,-24,-54
2020-03-19,-51,0,-54,-33,-23,-51,-12,0,0,-14,-58
2020-03-20,-52,0,-54,-36,-29,-56,-18,-35,-44,-19,-58
2020-03-21,-54,0,-56,-46,-32,-50,-12,0,0,-27,-61
2020-03-22,-55,0,-57,-49,-35,-52,-21,0,0,-28,-61
2020-03-23,-54,0,-58,-32,-24,-59,-21,0,0,0,-61
2020-03-24,-55,0,-59,-39,-17,-60,-18,0,0,0,-61
2020-03-25,-55,0,-58,-36,-23,-56,-5,0,0,-24,-62
2020-03-26,-55,0,-59,-34,-22,-58,-9,0,0,-23,-61
2020-03-27,-55,-42,-60,-32,-32,-57,-20,-46,0,-21,-61
2020-03-28,-46,0,-54,-35,-18,-47,6,0,0,2,-54
2020-03-29,-63,-70,-68,-59,-41,-62,-38,0,0,-35,-67
2020-03-30,-60,0,-64,-39,-34,-62,-29,0,-65,-28,-65
2020-03-31,-58,0,-61,-35,-30,-61,-28,0,0,-20,-64
2020-04-01,-62,0,-65,-42,-38,-63,-15,0,0,-37,-68
2020-04-02,-62,0,-63,-43,-37,-64,-29,0,0,-37,-68
2020-04-03,-60,-64,-64,-37,-41,-65,-27,-54,-44,-33,-66
2020-04-04,-54,0,-58,-40,-33,-52,-10,0,0,-24,-61
2020-04-05,-49,0,-54,-26,-28,-46,-15,0,0,0,-58
2020-04-06,-51,0,-58,-10,-33,-52,-10,0,0,0,-59
2020-04-07,-49,0,-54,-22,-27,-51,2,0,0,0,-56
2020-04-08,-50,0,-54,-9,-22,-50,5,0,0,-13,-58
2020-04-09,-53,0,-55,-24,-29,-53,-7,0,0,-9,-62
2020-04-10,-53,-44,-55,-25,-31,-56,-13,-54,-39,-17,-61
2020-04-11,-59,-65,-63,-52,-52,-59,-14,0,0,-43,-63
