date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-02-15,1,0,0,NA,NA,NA,NA,NA,0,0,NA,0,-4,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-2,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,-11,NA,NA,0,6,NA,0,0,NA,0,0,0,0,NA
2020-02-16,7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,-8,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,6,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-17,-2,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-2,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-18,6,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,8,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-19,3,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,6,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-20,12,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,10,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-21,-4,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-12,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-22,-26,0,0,NA,NA,NA,NA,NA,0,0,NA,0,-30,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-56,NA,NA,0,NA,-26,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,-33,NA,NA,0,-8,NA,-27,0,NA,0,0,0,0,NA
2020-02-23,10,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,-2,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,15,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-24,8,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,6,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-25,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-26,9,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,9,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-27,-7,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-7,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-28,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-7,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-29,15,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,25,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,6,NA,NA,0,6,NA,0,0,NA,0,0,0,0,NA
2020-03-01,38,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,39,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-03-02,6,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,4,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-03,7,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,3,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-04,-1,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-5,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-05,7,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,8,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-06,26,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,15,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-07,6,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-6,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,-2,NA,NA,0,6,NA,0,0,NA,0,0,0,0,NA
2020-03-08,83,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,74,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,NA
2020-03-09,14,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,9,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-10,8,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,2,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-11,-1,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-6,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-12,-7,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-14,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-13,-12,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-28,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-14,-22,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,-46,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-49,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,-50,NA,NA,0,4,NA,-17,0,NA,0,0,0,0,NA
2020-03-15,56,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,9,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-03-16,-18,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-34,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-17,26,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-3,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
