date,MD
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,-2
2020-02-20,-1
2020-02-21,-1
2020-02-22,-1
2020-02-23,-2
2020-02-24,2
2020-02-25,0
2020-02-26,-2
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,-1
2020-03-02,0
2020-03-03,-1
2020-03-04,-3
2020-03-05,1
2020-03-06,1
2020-03-07,-3
2020-03-08,-5
2020-03-09,1
2020-03-10,0
2020-03-11,3
2020-03-12,4
2020-03-13,6
2020-03-14,3
2020-03-15,6
2020-03-16,11
2020-03-17,16
2020-03-18,16
2020-03-19,17
2020-03-20,19
2020-03-21,12
2020-03-22,14
2020-03-23,20
2020-03-24,21
2020-03-25,20
2020-03-26,21
2020-03-27,23
2020-03-28,14
2020-03-29,12
2020-03-30,21
2020-03-31,23
2020-04-01,20
2020-04-02,21
2020-04-03,23
2020-04-04,13
2020-04-05,12
2020-04-06,19
2020-04-07,20
2020-04-08,18
2020-04-09,19
2020-04-10,21
2020-04-11,12
