date,total
2020-02-29,-4.034553901420697
2020-03-01,-0.20000762945769865
2020-03-02,-0.5848223085343108
2020-03-03,1.0384396121443715
2020-03-04,5.377805140858602
2020-03-05,2.2568860908006716
2020-03-06,3.4177303721731547
2020-03-07,10.208389407520938
2020-03-08,12.642082242762216
2020-03-09,-2.0144768438979406
2020-03-10,-2.8105072091395815
2020-03-11,1.5368586247529565
2020-03-12,-5.2225992203994265
2020-03-13,-16.69503684609302
2020-03-14,-13.875729301257303
2020-03-15,-29.608329434399877
2020-03-16,-26.706618746227583
2020-03-17,-46.12255938346314
2020-03-18,-51.282756223471765
2020-03-19,-52.80681435993943
2020-03-20,-58.377426855595246
2020-03-21,-61.1271317453797
2020-03-22,-71.92594367505976
2020-03-23,-59.716677942444
2020-03-24,-60.53990934529189
2020-03-25,-61.07752985327418
2020-03-26,-59.83428242856513
2020-03-27,-62.80319568023521
2020-03-28,-63.81683434632682
2020-03-29,-67.7337837616264
2020-03-30,-64.20004896436778
2020-03-31,-65.3048911094921
2020-04-01,-62.10236894661543
2020-04-02,-61.89756113405075
2020-04-03,-64.31605338945323
2020-04-04,-64.06084365426521
2020-04-05,-67.26816600024887
2020-04-06,-59.65107543998188
2020-04-07,-58.584634759713424
2020-04-08,-59.093454169053814
2020-04-09,-58.09341602176532
2020-04-10,-62.2991764540018
2020-04-11,-64.00004133491008
