date,MK
2020-02-15,4
2020-02-16,27
2020-02-17,24
2020-02-18,21
2020-02-19,14
2020-02-20,-7
2020-02-21,3
2020-02-22,-6
2020-02-23,21
2020-02-24,10
2020-02-25,20
2020-02-26,17
2020-02-27,-6
2020-02-28,-20
2020-02-29,10
2020-03-01,27
2020-03-02,21
2020-03-03,7
2020-03-04,-7
2020-03-05,17
2020-03-06,0
2020-03-07,-15
2020-03-08,-2
2020-03-09,-1
2020-03-10,0
2020-03-11,12
2020-03-12,21
2020-03-13,8
2020-03-14,-2
2020-03-15,-51
2020-03-16,-10
2020-03-17,-4
2020-03-18,-10
2020-03-19,-12
2020-03-20,-23
2020-03-21,-23
2020-03-22,-45
2020-03-23,-53
2020-03-24,-48
2020-03-25,-46
2020-03-26,-47
2020-03-27,-51
2020-03-28,-61
2020-03-29,-44
2020-03-30,-18
2020-03-31,-31
2020-04-01,-48
2020-04-02,-32
2020-04-03,-36
2020-04-04,-64
2020-04-05,-65
2020-04-06,-19
2020-04-07,1
2020-04-08,-26
2020-04-09,-23
2020-04-10,-24
2020-04-11,-79
