date,MK
2020-02-15,4
2020-02-16,4
2020-02-17,19
2020-02-18,3
2020-02-19,2
2020-02-20,0
2020-02-21,18
2020-02-22,2
2020-02-23,4
2020-02-24,20
2020-02-25,4
2020-02-26,3
2020-02-27,1
2020-02-28,18
2020-02-29,4
2020-03-01,9
2020-03-02,22
2020-03-03,5
2020-03-04,3
2020-03-05,3
2020-03-06,20
2020-03-07,3
2020-03-08,7
2020-03-09,20
2020-03-10,2
2020-03-11,-17
2020-03-12,-21
2020-03-13,-11
2020-03-14,-12
2020-03-15,-30
2020-03-16,-23
2020-03-17,-38
2020-03-18,-41
2020-03-19,-44
2020-03-20,-36
2020-03-21,-36
2020-03-22,-43
2020-03-23,-43
2020-03-24,-53
2020-03-25,-54
2020-03-26,-55
2020-03-27,-45
2020-03-28,-50
2020-03-29,-51
2020-03-30,-43
2020-03-31,-52
2020-04-01,-55
2020-04-02,-55
2020-04-03,-44
2020-04-04,-52
2020-04-05,-54
2020-04-06,-43
2020-04-07,-52
2020-04-08,-55
2020-04-09,-56
2020-04-10,-48
2020-04-11,-82
