date,MM
2020-02-15,0
2020-02-16,-1
2020-02-17,-1
2020-02-18,0
2020-02-19,-3
2020-02-20,-1
2020-02-21,-2
2020-02-22,1
2020-02-23,-2
2020-02-24,-1
2020-02-25,0
2020-02-26,-3
2020-02-27,0
2020-02-28,3
2020-02-29,5
2020-03-01,5
2020-03-02,6
2020-03-03,4
2020-03-04,3
2020-03-05,4
2020-03-06,4
2020-03-07,5
2020-03-08,4
2020-03-09,5
2020-03-10,4
2020-03-11,3
2020-03-12,3
2020-03-13,0
2020-03-14,-4
2020-03-15,-6
2020-03-16,0
2020-03-17,-1
2020-03-18,-1
2020-03-19,-4
2020-03-20,-5
2020-03-21,-8
2020-03-22,-12
2020-03-23,-6
2020-03-24,-8
2020-03-25,-19
2020-03-26,-22
2020-03-27,-36
2020-03-28,-40
2020-03-29,-46
2020-03-30,-39
2020-03-31,-39
2020-04-01,-44
2020-04-02,-44
2020-04-03,-47
2020-04-04,-49
2020-04-05,-51
2020-04-06,-44
2020-04-07,-46
2020-04-08,-48
2020-04-09,-47
2020-04-10,-65
2020-04-11,-66
