date,MN
2020-02-15,-6
2020-02-16,-5
2020-02-17,-3
2020-02-18,-2
2020-02-19,-1
2020-02-20,-1
2020-02-21,3
2020-02-22,8
2020-02-23,-19
2020-02-24,-63
2020-02-25,-67
2020-02-26,-66
2020-02-27,-43
2020-02-28,-39
2020-02-29,-35
2020-03-01,-34
2020-03-02,-25
2020-03-03,-17
2020-03-04,-14
2020-03-05,-11
2020-03-06,-11
2020-03-07,-5
2020-03-08,-3
2020-03-09,-14
2020-03-10,-28
2020-03-11,-47
2020-03-12,-49
2020-03-13,-49
2020-03-14,-48
2020-03-15,-46
2020-03-16,-13
2020-03-17,-15
2020-03-18,-12
2020-03-19,-22
2020-03-20,-21
2020-03-21,-17
2020-03-22,-16
2020-03-23,-14
2020-03-24,-19
2020-03-25,-21
2020-03-26,-20
2020-03-27,-19
2020-03-28,-17
2020-03-29,-16
2020-03-30,-17
2020-03-31,-15
2020-04-01,-12
2020-04-02,-10
2020-04-03,-12
2020-04-04,-10
2020-04-05,-12
2020-04-06,-13
2020-04-07,-12
2020-04-08,-10
2020-04-09,-12
2020-04-10,-12
2020-04-11,-8
