date,MT
2020-02-15,21
2020-02-16,16
2020-02-17,32
2020-02-18,23
2020-02-19,18
2020-02-20,22
2020-02-21,36
2020-02-22,60
2020-02-23,60
2020-02-24,62
2020-02-25,65
2020-02-26,25
2020-02-27,13
2020-02-28,14
2020-02-29,16
2020-03-01,24
2020-03-02,32
2020-03-03,-9
2020-03-04,-3
2020-03-05,17
2020-03-06,22
2020-03-07,-6
2020-03-08,-1
2020-03-09,15
2020-03-10,0
2020-03-11,18
2020-03-12,3
2020-03-13,-6
2020-03-14,-13
2020-03-15,-19
2020-03-16,-27
2020-03-17,-44
2020-03-18,-34
2020-03-19,-13
2020-03-20,-42
2020-03-21,-69
2020-03-22,-68
2020-03-23,-46
2020-03-24,-53
2020-03-25,-67
2020-03-26,-56
2020-03-27,-54
2020-03-28,-42
2020-03-29,-45
2020-03-30,-56
2020-03-31,-17
2020-04-01,-40
2020-04-02,-55
2020-04-03,-63
2020-04-04,-49
2020-04-05,-38
2020-04-06,-35
2020-04-07,-46
2020-04-08,-27
2020-04-09,-35
2020-04-10,-16
2020-04-11,-41
