date,MT
2020-02-15,6
2020-02-16,6
2020-02-17,5
2020-02-18,9
2020-02-19,7
2020-02-20,9
2020-02-21,10
2020-02-22,7
2020-02-23,11
2020-02-24,13
2020-02-25,16
2020-02-26,5
2020-02-27,4
2020-02-28,7
2020-02-29,7
2020-03-01,12
2020-03-02,6
2020-03-03,4
2020-03-04,1
2020-03-05,7
2020-03-06,8
2020-03-07,1
2020-03-08,0
2020-03-09,-1
2020-03-10,-1
2020-03-11,-3
2020-03-12,-11
2020-03-13,-28
2020-03-14,-43
2020-03-15,-55
2020-03-16,-39
2020-03-17,-45
2020-03-18,-52
2020-03-19,-70
2020-03-20,-60
2020-03-21,-74
2020-03-22,-80
2020-03-23,-64
2020-03-24,-65
2020-03-25,-72
2020-03-26,-67
2020-03-27,-67
2020-03-28,-72
2020-03-29,-76
2020-03-30,-66
2020-03-31,-71
2020-04-01,-62
2020-04-02,-65
2020-04-03,-70
2020-04-04,-73
2020-04-05,-74
2020-04-06,-61
2020-04-07,-62
2020-04-08,-61
2020-04-09,-60
2020-04-10,-78
2020-04-11,-71
