date,MT
2020-02-15,3
2020-02-16,2
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,0
2020-02-22,0
2020-02-23,2
2020-02-24,-9
2020-02-25,-7
2020-02-26,-4
2020-02-27,3
2020-02-28,3
2020-02-29,4
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,4
2020-03-07,4
2020-03-08,2
2020-03-09,3
2020-03-10,2
2020-03-11,2
2020-03-12,-3
2020-03-13,-22
2020-03-14,-14
2020-03-15,-22
2020-03-16,-34
2020-03-17,-41
2020-03-18,-44
2020-03-19,-78
2020-03-20,-53
2020-03-21,-41
2020-03-22,-47
2020-03-23,-51
2020-03-24,-53
2020-03-25,-55
2020-03-26,-54
2020-03-27,-54
2020-03-28,-47
2020-03-29,-49
2020-03-30,-62
2020-03-31,-81
2020-04-01,-54
2020-04-02,-56
2020-04-03,-56
2020-04-04,-48
2020-04-05,-48
2020-04-06,-55
2020-04-07,-56
2020-04-08,-56
2020-04-09,-58
2020-04-10,-84
2020-04-11,-50
