date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,1,0,-3,0,0,6,7,0,0,NA,0
2020-02-16,-4,0,-9,0,0,5,2,0,0,NA,0
2020-02-17,0,0,-4,13,0,-1,3,0,0,0,0
2020-02-18,5,0,2,0,0,20,-1,0,0,0,0
2020-02-19,7,0,1,17,0,22,8,0,0,0,0
2020-02-20,-6,0,1,-5,0,-4,-11,0,0,0,0
2020-02-21,-32,0,-19,-37,0,-36,-46,0,0,0,0
2020-02-22,-7,0,-11,0,-32,-1,-6,0,0,NA,0
2020-02-23,-10,0,2,-14,0,-13,-3,0,0,NA,0
2020-02-24,-2,0,1,-2,0,-7,3,0,0,0,0
2020-02-25,-2,0,-1,0,0,-3,-2,0,0,0,0
2020-02-26,-4,0,0,9,0,-8,5,0,0,0,0
2020-02-27,0,0,4,0,0,-1,-2,0,0,0,0
2020-02-28,0,0,-14,0,0,7,7,0,0,0,0
2020-02-29,2,0,-7,0,-28,8,11,0,0,NA,0
2020-03-01,2,0,0,0,0,-3,37,0,0,NA,0
2020-03-02,-2,0,-5,0,0,-7,5,0,0,0,0
2020-03-03,-1,0,-3,0,0,-3,9,0,0,0,0
2020-03-04,-4,0,-3,7,0,-6,8,0,0,0,0
2020-03-05,-2,0,-4,0,0,-5,4,0,0,0,0
2020-03-06,-1,0,-18,0,0,5,6,0,0,0,0
2020-03-07,-4,0,-11,0,-30,2,1,0,0,NA,0
2020-03-08,-14,0,-9,0,-39,-15,-6,0,0,NA,0
2020-03-09,-7,0,-12,2,0,-10,3,0,0,0,0
2020-03-10,-23,0,-14,-31,0,-31,-13,0,0,0,0
2020-03-11,-18,0,-8,-17,0,-22,-10,0,0,0,0
2020-03-12,-41,0,-20,-52,0,-49,-54,0,0,0,0
2020-03-13,-34,0,-30,0,0,-36,-28,0,-42,0,0
2020-03-14,-14,0,-20,0,-28,-10,-15,0,0,NA,0
2020-03-15,-15,0,-12,-14,0,-13,-11,0,0,NA,0
2020-03-16,-8,0,-15,4,0,-13,5,0,0,0,0
2020-03-17,-26,0,-9,-38,0,-34,-21,0,0,0,0
2020-03-18,-9,0,-3,2,0,-10,-1,0,0,0,0
2020-03-19,-30,0,-27,-34,0,-36,-29,0,0,0,0
2020-03-20,-72,0,-56,-74,-62,-81,-81,0,-71,0,0
2020-03-21,-74,0,-55,0,-78,-87,-82,0,-82,0,0
2020-03-22,-82,0,-64,0,0,-92,-89,0,0,0,0
2020-03-23,-85,0,-73,0,0,-91,-91,0,0,0,0
2020-03-24,-90,0,-83,0,-77,-95,-93,0,0,0,0
2020-03-25,-92,0,-83,0,0,-96,-95,0,0,0,0
2020-03-26,-91,0,-87,0,0,-95,-92,0,0,0,0
2020-03-27,-90,0,-87,0,0,-95,-91,0,0,0,0
2020-03-28,-90,0,-94,0,-78,-94,-86,0,0,0,0
2020-03-29,-89,0,-94,0,-81,-92,-87,0,0,0,0
2020-03-30,-90,0,-93,0,-72,-93,-89,0,0,0,0
2020-03-31,-89,0,-90,0,0,-93,-90,0,0,0,0
2020-04-01,-90,0,-95,0,-79,-93,-90,0,0,0,0
2020-04-02,-87,0,-93,0,-80,-89,-88,0,-82,0,0
2020-04-03,-87,0,-94,0,-78,-87,-86,0,-84,0,0
2020-04-04,-86,0,-97,-74,-78,-87,-82,0,-84,0,0
2020-04-05,-91,0,-96,0,0,-95,-87,0,0,0,0
2020-04-06,-88,0,-94,0,-72,-90,-86,0,0,0,0
2020-04-07,-87,0,-93,0,-74,-89,-86,0,-79,0,0
2020-04-08,-88,0,-92,0,-70,-89,-87,0,-88,0,0
2020-04-09,-87,0,-92,0,-74,-91,-88,0,0,0,0
2020-04-10,-87,0,-93,0,-75,-90,-87,0,-82,0,0
2020-04-11,-86,0,-93,-82,-78,-88,-83,0,-79,0,0
