date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,4,6,4,10,5,2,4,6,5,4,6,2,4,7,4,2,4,0,8,0,5,6,8,4,3,6,6,7,6,3,6,7,-1
2020-02-16,6,7,5,9,8,3,3,5,5,6,6,3,5,5,6,3,4,2,7,2,6,7,5,5,6,6,6,9,5,3,6,4,2
2020-02-17,4,2,5,5,5,2,2,4,5,2,2,-2,1,1,2,0,2,1,5,0,3,4,3,3,3,4,1,6,3,2,3,6,-2
2020-02-18,-1,-3,1,3,-1,-2,0,-2,0,-1,-2,-3,-2,-1,0,-2,0,-3,3,-2,1,2,0,0,-2,-1,1,3,-1,-2,-1,4,-4
2020-02-19,0,-2,0,3,0,-2,-1,-2,0,1,0,0,-2,-1,0,-1,0,-2,-2,-2,0,2,-1,-1,-2,-1,0,-1,-2,-1,0,3,-6
2020-02-20,-1,-2,0,2,1,-3,-1,-4,-2,0,-2,-4,-2,0,-1,-2,1,-1,-3,-4,0,-1,0,-1,1,0,0,-1,-3,1,-1,3,-5
2020-02-21,-2,-1,4,2,0,-6,-1,-4,-4,0,-1,-5,-4,1,0,-3,1,-3,-2,-5,-1,1,-2,-4,-2,-1,-1,-3,-2,-1,-4,2,-7
2020-02-22,0,1,-3,5,6,-6,1,2,-3,-1,1,-4,0,1,1,-1,7,-2,3,-5,2,1,3,-1,2,-1,0,-4,1,1,0,3,-4
2020-02-23,1,1,2,6,5,-3,-2,1,-1,-1,2,-5,-1,1,3,-1,8,-1,4,-3,2,2,0,1,7,0,0,0,1,4,2,-1,-2
2020-02-24,0,-3,1,1,-1,-6,-2,0,0,-3,-1,-6,-3,-1,-2,-3,2,-2,3,-4,1,1,-3,-1,-1,-1,-3,1,0,1,-2,1,-6
2020-02-25,-2,-6,1,1,-6,-6,-2,-2,-2,-4,-3,-5,-3,-1,-1,-2,5,-3,3,-4,0,0,0,-3,-3,-3,-2,0,-2,0,-3,0,-5
2020-02-26,-1,-5,0,1,-8,-5,-1,-3,-1,0,0,-1,-6,-2,0,0,1,-1,-1,-5,-2,0,-4,-4,-2,0,1,-10,-6,-1,-16,-2,-8
2020-02-27,1,0,2,2,-1,-3,2,1,0,2,0,-2,-1,1,1,-1,3,0,4,-3,2,1,0,0,2,2,1,-9,1,-1,-3,2,-2
2020-02-28,6,9,8,8,5,3,8,10,5,8,5,3,3,7,8,1,5,3,14,1,5,10,4,5,6,6,6,5,11,5,5,8,-2
2020-02-29,8,13,7,12,8,5,8,13,6,8,10,4,8,10,9,6,10,5,15,4,10,11,10,8,5,8,9,7,10,9,9,9,3
2020-03-01,9,10,3,11,11,7,5,10,9,8,9,4,7,8,10,5,8,8,13,4,9,11,7,9,8,8,8,8,10,8,10,7,3
2020-03-02,6,5,0,7,6,2,3,7,5,4,4,-1,2,4,7,2,4,4,10,1,6,7,4,5,5,4,4,7,7,4,5,8,-2
2020-03-03,3,-1,7,5,3,-1,-3,1,3,-4,1,-1,1,2,5,1,4,0,8,0,4,6,2,4,0,0,4,4,4,2,2,6,-4
2020-03-04,4,1,6,4,2,0,2,3,2,4,3,2,1,3,5,3,4,2,5,0,4,5,1,3,0,4,4,0,4,3,3,6,-3
2020-03-05,3,1,5,4,1,-1,3,3,1,2,2,-3,1,4,2,0,3,1,4,-3,5,2,2,3,1,4,4,-1,4,1,1,4,-2
2020-03-06,0,0,6,3,-2,-3,3,2,0,1,0,-4,-4,3,2,-2,0,0,5,-4,1,2,-2,-1,-4,3,1,-1,3,1,1,4,-6
2020-03-07,2,2,4,5,-1,-3,2,3,0,-2,4,-2,0,4,2,1,2,1,6,-4,3,4,2,2,-2,3,4,-2,4,2,1,5,-3
2020-03-08,3,2,3,4,2,-3,-2,2,2,3,4,-2,2,4,4,2,4,3,5,-2,5,5,0,4,1,-1,4,0,3,2,1,3,-1
2020-03-09,-6,-10,-2,-3,-5,-5,-6,-7,-7,-10,-7,-7,-5,-10,-11,-5,-5,-7,-6,-5,-5,-8,-6,-8,-10,-5,-5,-3,-2,-3,-5,-6,-10
2020-03-10,0,-2,-9,2,-2,-2,3,1,0,0,-1,-3,-2,1,2,0,3,-2,6,-4,3,3,-1,1,-2,2,2,2,1,-1,0,5,-3
2020-03-11,2,-1,5,3,-4,-4,3,3,0,3,0,-1,-2,0,2,0,2,0,4,-2,2,2,-1,1,-1,2,2,-5,1,-1,-2,4,-6
2020-03-12,4,2,3,6,-1,-1,6,6,1,4,3,-2,-1,4,3,1,3,2,12,-3,4,4,1,4,4,-2,3,-1,8,0,0,4,-2
2020-03-13,6,9,8,10,7,5,11,10,5,9,4,3,4,10,7,1,10,4,13,3,6,6,5,5,5,13,5,8,14,5,7,12,0
2020-03-14,10,13,9,17,12,8,11,13,15,10,11,14,11,11,7,8,21,14,15,8,11,9,12,12,11,15,8,12,14,9,15,17,7
2020-03-15,7,8,6,13,9,5,5,7,14,9,8,13,13,5,2,7,24,14,6,8,5,9,6,9,12,12,4,8,10,6,13,6,3
2020-03-16,5,5,5,7,8,7,7,5,13,4,5,9,10,-1,-2,7,15,7,3,5,7,3,0,4,2,16,5,4,14,4,8,0,3
2020-03-17,5,3,14,8,4,5,10,4,4,6,2,3,6,2,4,6,9,6,4,4,7,11,2,8,6,10,6,10,8,0,9,-1,6
2020-03-18,3,2,1,7,-1,5,4,9,12,6,1,3,3,-1,1,3,4,2,-2,3,5,1,1,4,4,-12,3,3,2,-4,4,-6,3
2020-03-19,1,1,0,7,1,6,5,2,-7,-1,-2,0,5,-2,-3,0,2,-2,-4,0,5,-3,2,2,4,-4,3,3,-1,-5,2,-7,5
