date,total
2020-02-29,12.034868137594994
2020-03-01,5.86432071675031
2020-03-02,4.0039538227054665
2020-03-03,0.6061067407463794
2020-03-04,2.2134002705266997
2020-03-05,1.5644535245443196
2020-03-06,2.7719070054553008
2020-03-07,8.043607649774268
2020-03-08,0.963106784379718
2020-03-09,-0.6886134174971954
2020-03-10,-2.7258936664981146
2020-03-11,-4.118987170098432
2020-03-12,-4.513273884955697
2020-03-13,-4.752067247474885
2020-03-14,0.7980934308780859
2020-03-15,-4.288760524181841
2020-03-16,-3.75405379216213
2020-03-17,-3.392293747947013
2020-03-18,-0.7378000901755666
2020-03-19,-3.0083203676836003
2020-03-20,4.186420511673618
2020-03-21,9.701674519093551
2020-03-22,-1.3129668271403898
2020-03-23,-0.8758401070471242
2020-03-24,-6.421240784818317
2020-03-25,-5.102720623665854
2020-03-26,-8.604494384993759
2020-03-27,-9.334361140866362
2020-03-28,-3.561273768600127
2020-03-29,-12.428361519021962
2020-03-30,-6.569594136283728
2020-03-31,-8.360147688462495
2020-04-01,-15.984875287040312
2020-04-02,-18.292682235772272
2020-04-03,-18.781375628834798
2020-04-04,-15.719108587891048
2020-04-05,-17.155042096727364
2020-04-06,-11.38671472504291
2020-04-07,-41.1930450347055
2020-04-08,-22.686162772753228
2020-04-09,-17.510455473500112
2020-04-10,-37.78885128530405
2020-04-11,-13.999955044438948
