date,NA
2020-02-15,2
2020-02-16,-1
2020-02-17,6
2020-02-18,6
2020-02-19,6
2020-02-20,6
2020-02-21,11
2020-02-22,4
2020-02-23,3
2020-02-24,10
2020-02-25,11
2020-02-26,11
2020-02-27,9
2020-02-28,11
2020-02-29,6
2020-03-01,8
2020-03-02,12
2020-03-03,10
2020-03-04,10
2020-03-05,10
2020-03-06,13
2020-03-07,10
2020-03-08,8
2020-03-09,8
2020-03-10,8
2020-03-11,8
2020-03-12,9
2020-03-13,11
2020-03-14,6
2020-03-15,3
2020-03-16,-6
2020-03-17,-12
2020-03-18,-13
2020-03-19,-14
2020-03-20,-10
2020-03-21,-20
2020-03-22,-7
2020-03-23,-13
2020-03-24,-14
2020-03-25,-15
2020-03-26,-19
2020-03-27,-22
2020-03-28,-28
2020-03-29,-28
2020-03-30,-53
2020-03-31,-54
2020-04-01,-54
2020-04-02,-56
2020-04-03,-54
2020-04-04,-35
2020-04-05,-30
2020-04-06,-56
2020-04-07,-56
2020-04-08,-57
2020-04-09,-57
2020-04-10,-78
2020-04-11,-38
