date,NE
2020-02-15,-2
2020-02-16,0
2020-02-17,0
2020-02-18,-1
2020-02-19,-4
2020-02-20,8
2020-02-21,-4
2020-02-22,1
2020-02-23,-3
2020-02-24,0
2020-02-25,-3
2020-02-26,4
2020-02-27,-4
2020-02-28,-4
2020-02-29,-1
2020-03-01,-1
2020-03-02,-8
2020-03-03,-1
2020-03-04,-4
2020-03-05,-7
2020-03-06,-4
2020-03-07,-2
2020-03-08,0
2020-03-09,-4
2020-03-10,-4
2020-03-11,-3
2020-03-12,4
2020-03-13,-2
2020-03-14,0
2020-03-15,5
2020-03-16,-5
2020-03-17,-3
2020-03-18,-10
2020-03-19,-3
2020-03-20,-7
2020-03-21,-6
2020-03-22,-8
2020-03-23,-14
2020-03-24,-13
2020-03-25,-16
2020-03-26,-11
2020-03-27,-11
2020-03-28,-17
2020-03-29,-19
2020-03-30,-26
2020-03-31,-20
2020-04-01,-22
2020-04-02,-20
2020-04-03,-21
2020-04-04,-16
2020-04-05,-16
2020-04-06,-20
2020-04-07,-16
2020-04-08,-19
2020-04-09,-14
2020-04-10,-20
2020-04-11,-21
