date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,-1,1,-1,1,0,0,-1,-1,0,0,0,0
2020-02-16,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
2020-02-17,1,-1,0,1,0,0,0,1,1,0,0,0,-1,3,1,1,0,0,0,1,0,0,0,-1,1,0,-2,1,0,2,0,1,0,3,0,0,0,0
2020-02-18,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,2,0,1,0,1,-1,0,0,0,4,0,-1,1,1,0,0,1,0,1,0,0,0,0
2020-02-19,1,-1,1,1,1,0,0,1,2,0,2,0,0,3,2,2,0,1,0,0,-1,0,0,0,2,1,0,2,0,1,0,0,-2,1,0,0,0,0
2020-02-20,1,0,1,1,0,0,0,2,2,-1,1,0,1,2,2,2,0,1,0,1,-1,0,0,-1,4,1,0,2,3,0,0,1,1,2,0,0,0,0
2020-02-21,1,-1,0,-1,0,0,0,0,1,-1,1,0,2,4,1,2,0,1,0,0,-1,0,0,0,4,1,-1,3,2,1,0,3,0,1,0,0,0,0
2020-02-22,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,-1,2,0,0,-1,0,-2,-1,0,0,0,0
2020-02-23,0,0,0,0,-1,0,0,0,1,0,1,0,2,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,1,1,-2,1,0,0,0,0,0,0
2020-02-24,1,-1,1,1,-1,0,0,0,0,-1,0,0,3,3,1,1,0,1,0,1,-1,0,0,1,2,0,0,2,0,0,1,2,2,1,0,0,0,0
2020-02-25,0,0,1,1,-2,0,0,-1,-3,0,1,0,1,0,0,1,0,1,0,0,-1,0,0,0,2,0,0,2,1,4,1,2,-1,0,0,0,0,0
2020-02-26,0,0,0,1,-2,0,0,1,-2,-1,0,0,1,4,1,1,0,1,0,0,-1,0,0,0,2,0,-1,1,0,0,0,1,-2,0,0,0,0,0
2020-02-27,1,1,1,2,0,0,0,1,-1,0,1,0,2,1,0,3,0,1,0,0,-1,0,0,-2,2,1,1,1,0,-1,0,0,0,2,0,0,0,0
2020-02-28,1,-1,-1,-2,0,0,0,-2,-2,0,1,0,1,2,-1,2,0,2,0,-1,0,0,0,0,2,1,-2,1,1,1,0,2,-1,0,0,0,0,0
2020-02-29,0,1,0,0,1,0,0,0,-4,0,2,0,1,0,10,1,0,2,0,-1,1,0,0,0,1,0,-1,1,0,2,-1,0,-2,1,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,-3,0,1,0,1,0,0,1,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0
2020-03-02,1,-2,1,-1,1,0,0,0,-1,-1,0,0,1,3,1,1,0,2,0,2,-1,0,0,1,2,0,-1,2,0,1,1,2,0,1,0,0,0,0
2020-03-03,0,-2,1,0,-1,0,0,-3,1,0,0,0,1,0,1,0,0,1,0,2,-2,0,0,3,2,0,0,2,0,-1,0,1,-2,0,0,0,0,0
2020-03-04,0,-2,-1,1,0,0,0,-1,0,-1,2,0,2,2,1,1,0,1,0,1,-2,0,0,0,2,0,0,1,0,-1,-1,0,-2,1,0,0,0,0
2020-03-05,0,-1,-1,-1,1,0,0,-2,-1,-1,0,0,1,0,1,1,0,1,0,0,-3,0,0,-2,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
2020-03-06,1,-1,-2,-2,1,0,0,-2,0,-1,1,0,1,4,1,1,0,2,0,-1,-2,0,0,0,1,1,-2,1,1,1,1,1,-2,1,0,0,0,0
2020-03-07,-1,-1,0,-3,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-1,-2,0,0,0,-1,0,-5,0,-1,0,0,-1,-2,0,0,0,0,0
2020-03-08,0,0,0,0,-1,0,0,0,-1,0,0,0,1,0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-09,0,-2,0,-1,2,0,0,-1,0,-2,1,0,2,2,2,0,0,1,0,0,-1,0,0,1,2,0,-1,1,0,1,1,1,-1,1,0,0,0,0
