date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,5,11,8,2,11,14,5,2,13,5,2,4,4,5,3,4,4,9,11,19,7,8,20,10,5,3,7,9,3,9,3,1,6,5,23,12,16,12
2020-02-16,3,7,8,4,4,15,3,4,7,2,1,7,1,2,2,4,5,5,14,14,4,6,13,7,4,1,8,10,1,10,4,1,3,1,13,2,7,12
2020-02-17,3,5,6,5,6,6,6,4,8,7,2,2,4,10,2,7,1,7,12,12,5,12,10,11,1,3,5,7,2,2,0,0,3,-1,18,3,15,15
2020-02-18,2,3,6,5,3,8,6,0,2,4,1,2,2,9,0,5,3,3,2,11,5,8,5,6,-1,1,5,4,1,5,-1,-3,4,3,14,1,10,13
2020-02-19,1,4,6,4,0,10,4,1,5,7,0,4,-2,7,0,4,1,3,6,8,3,5,12,6,-2,1,3,5,-1,2,0,0,4,3,9,5,9,12
2020-02-20,-1,4,5,2,-1,10,5,-3,2,5,2,3,-3,6,1,4,0,2,9,8,4,6,14,6,-9,-2,5,5,-6,2,-4,-7,1,2,16,-2,10,11
2020-02-21,1,6,13,1,-1,13,4,2,8,7,2,1,-2,8,1,6,7,7,14,19,4,8,24,6,-10,-1,7,7,-5,0,-5,-8,3,3,18,9,20,13
2020-02-22,2,7,4,1,8,16,12,1,7,6,2,13,-1,5,1,2,5,6,19,16,4,8,17,10,-1,-1,7,10,0,8,-2,-1,2,4,19,9,14,7
2020-02-23,0,3,7,0,1,8,4,1,2,-2,-1,3,-1,0,0,0,6,5,15,11,-1,5,9,6,-2,-1,2,7,-2,3,2,-2,-3,0,10,5,7,5
2020-02-24,2,6,4,1,4,7,1,2,-10,6,3,2,-3,9,2,7,-5,4,12,8,4,8,10,7,-4,2,5,7,-1,2,-9,0,2,3,15,8,12,15
2020-02-25,2,6,6,3,3,9,0,-2,-2,4,2,3,-1,10,2,5,0,4,6,10,6,8,11,4,-2,1,4,6,1,-9,0,-2,5,3,14,5,5,13
2020-02-26,2,3,6,4,3,10,1,3,0,7,2,-1,0,11,4,5,0,4,8,11,4,3,9,5,-2,2,4,6,-1,4,1,1,4,4,12,3,13,14
2020-02-27,3,2,5,-2,3,10,1,0,1,7,3,-3,1,9,4,5,-1,1,10,10,5,5,10,6,-3,3,5,5,2,2,2,0,3,4,17,5,12,13
2020-02-28,4,9,13,-3,1,12,2,5,3,5,4,-4,5,6,2,7,4,7,12,17,4,4,19,5,-5,4,6,7,2,4,0,-1,7,3,20,12,14,18
2020-02-29,2,4,7,-1,4,7,6,1,2,6,0,-4,1,0,-27,2,-1,3,8,14,2,2,13,12,0,2,3,8,-2,4,0,-1,3,0,17,5,19,14
2020-03-01,3,5,9,1,4,11,4,3,8,2,2,6,1,3,1,4,6,7,15,9,0,3,14,7,3,2,6,15,2,3,4,1,4,2,15,7,10,9
2020-03-02,3,9,6,2,3,3,4,0,4,6,2,2,3,8,0,6,-3,7,7,4,2,6,9,4,-4,3,4,7,1,2,-1,-2,1,4,17,7,11,10
2020-03-03,2,9,1,1,1,5,5,-4,-1,4,3,0,0,6,1,6,1,6,2,4,4,10,8,0,-7,2,4,2,2,2,-3,-3,5,5,16,2,7,15
2020-03-04,2,3,5,4,0,10,6,0,0,8,1,-3,0,6,2,6,2,1,7,2,1,3,9,3,-5,3,2,6,3,2,0,0,1,4,12,3,7,11
2020-03-05,3,5,7,4,2,7,7,-3,0,7,2,-3,0,5,2,6,4,4,6,4,3,6,6,6,-4,3,4,5,3,4,-1,0,3,6,19,3,10,9
2020-03-06,5,11,14,3,4,15,10,1,6,11,3,-6,3,5,4,10,9,9,10,13,3,6,19,8,-7,5,7,9,3,4,2,-2,5,5,20,12,15,12
2020-03-07,5,12,8,6,11,13,18,4,2,9,1,4,2,4,3,6,6,9,17,16,3,4,17,7,0,3,6,9,4,6,3,1,4,6,14,7,15,13
2020-03-08,4,7,9,10,7,9,9,6,7,2,1,6,2,1,3,6,8,7,14,11,1,7,13,8,3,3,6,13,3,4,10,0,1,4,13,7,12,9
2020-03-09,3,6,8,4,2,6,6,-2,4,11,3,0,3,1,2,7,2,7,8,12,3,8,5,6,-5,4,3,8,2,1,1,0,1,4,17,5,14,14
2020-03-10,2,9,6,6,1,5,6,-4,1,3,2,1,3,0,1,6,2,4,3,9,1,8,8,3,-7,2,3,3,3,1,-2,-4,1,5,11,7,9,12
2020-03-11,1,6,5,6,0,13,5,-4,2,-2,1,1,-2,-5,-1,6,2,3,2,4,-1,0,-2,3,-9,2,2,3,2,-3,-2,-2,-2,5,6,1,11,7
2020-03-12,1,5,7,5,-1,4,3,-7,-2,-1,0,-6,-2,-4,-3,6,-2,1,2,4,0,2,-5,5,-8,1,2,1,0,-4,-2,-2,-1,4,3,-1,9,8
2020-03-13,3,7,15,3,-1,11,3,-5,1,0,3,-9,4,-4,-2,10,5,7,1,14,0,7,10,4,-13,4,5,5,1,-3,3,-3,3,5,13,7,12,12
2020-03-14,2,8,8,-1,9,9,13,-8,1,0,1,7,2,5,-2,4,-4,7,8,12,2,5,11,5,-6,-1,4,4,0,1,3,-3,0,5,12,5,5,9
2020-03-15,1,-1,9,-2,3,9,2,-4,2,2,-1,4,0,1,-1,3,4,2,3,8,-2,7,4,3,-7,1,1,7,-1,-3,6,-3,-2,1,9,6,7,8
2020-03-16,0,0,6,-2,-3,0,-2,-7,0,1,1,-3,1,-3,-4,6,-8,2,3,3,0,3,-2,3,-11,2,1,0,0,-3,-2,-4,-2,1,10,-2,6,12
2020-03-17,0,2,5,0,-4,2,-1,-11,-3,-6,0,-5,-1,-1,-4,5,-5,0,-2,4,2,5,3,0,-12,1,1,-2,1,-4,-1,-4,0,2,9,1,5,10
2020-03-18,0,-1,6,3,-5,4,0,-8,-3,-4,0,1,-4,-2,-3,5,-5,-1,0,3,2,2,6,2,-14,1,1,2,1,-4,-2,-3,-1,3,1,-2,5,5
2020-03-19,0,-1,5,0,-1,4,-3,-9,-6,-3,0,-3,-2,-6,-5,6,-3,-3,3,1,2,5,5,3,-16,0,2,2,1,-5,-5,-4,-3,3,8,1,5,11
2020-03-20,2,7,15,-2,2,11,-1,-1,0,-5,3,-6,5,-2,0,8,3,4,9,12,2,7,10,2,-15,2,6,6,1,-8,-1,-5,0,4,3,8,11,12
2020-03-21,1,9,4,0,9,12,9,-7,1,-2,1,-2,1,3,-3,2,-4,7,8,7,3,2,9,2,-9,1,3,6,-1,-2,-1,-6,1,5,6,6,4,7
2020-03-22,-3,-1,3,-5,2,4,0,-4,2,-8,0,3,-2,-3,-5,-2,-3,1,5,1,-3,3,0,-7,-8,-7,0,4,-5,-4,-4,-6,-3,2,2,4,2,6
2020-03-23,-10,-3,3,-8,-5,2,-3,-10,0,-10,-1,-12,-5,-24,-12,-5,-13,-6,-9,-10,-7,-4,-7,-8,-26,-11,-2,-9,-12,-15,-19,-15,-8,-4,-8,-4,3,5
2020-03-24,-20,-5,-3,-12,-11,-3,-7,-18,-11,-18,-6,-17,-14,-28,-14,-20,-14,-13,-9,-23,-8,-6,-12,-16,-32,-27,-12,-20,-21,-20,-26,-23,-12,-11,-10,-8,-4,-1
