date,total
2020-02-29,4.207504960822343
2020-03-01,7.505866744464125
2020-03-02,0.5185900851233662
2020-03-03,0.04267899768872424
2020-03-04,-4.116510116693553
2020-03-05,1.087911809008801
2020-03-06,2.2193078798136603
2020-03-07,1.6451545712842195
2020-03-08,1.9624286295739806
2020-03-09,-1.6870283048656094
2020-03-10,-1.5074544089300337
2020-03-11,-4.386273592650584
2020-03-12,-4.576315921981506
2020-03-13,-0.11354223913415316
2020-03-14,1.5412755014380792
2020-03-15,-1.3689489824685135
2020-03-16,-1.707965171656304
2020-03-17,-5.147248174081611
2020-03-18,-9.001242191784144
2020-03-19,-18.592742974244416
2020-03-20,-22.83648481989681
2020-03-21,-35.411489120031106
2020-03-22,-44.9450108867633
2020-03-23,-29.235113416776105
2020-03-24,-32.58340157507262
2020-03-25,-35.111930872102704
2020-03-26,-36.199842681111505
2020-03-27,-36.09435308305069
2020-03-28,-40.48465299623795
2020-03-29,-45.28724813238043
2020-03-30,-28.932334112418367
2020-03-31,-27.694643179445364
2020-04-01,-29.540308513455848
2020-04-02,-29.87932470264364
2020-04-03,-27.274295315416794
2020-04-04,-33.316191912746945
2020-04-05,-40.199589502241565
2020-04-06,-27.808185418579516
2020-04-07,-30.25779883309082
2020-04-08,-31.993142984396492
2020-04-09,-55.42874430015011
2020-04-10,-64.03299128701839
2020-04-11,-55.999676552250214
