date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,-1,0,-1,-2,0,-1,-1,-1,-2,0,-1,-1
2020-02-16,1,1,1,0,-1,1,1,-1,-1,2,0,2
2020-02-17,2,3,2,2,0,2,1,-1,2,3,1,2
2020-02-18,1,2,1,3,0,1,1,0,2,1,1,1
2020-02-19,0,0,0,1,-1,1,0,-1,-1,0,-1,0
2020-02-20,2,4,2,3,0,3,1,0,2,4,1,3
2020-02-21,2,4,1,4,1,2,1,0,2,3,1,2
2020-02-22,0,1,-1,0,1,-1,1,0,-1,0,0,-1
2020-02-23,-2,-2,-2,-1,0,-3,0,-2,-3,-2,-1,-2
2020-02-24,0,0,1,0,0,0,1,0,1,0,1,0
2020-02-25,1,2,1,0,-1,0,2,-1,0,1,1,1
2020-02-26,0,0,0,0,0,0,0,-1,-1,1,0,0
2020-02-27,1,1,1,0,-1,0,2,-1,0,1,2,1
2020-02-28,1,0,1,0,-1,0,3,-1,0,0,2,1
2020-02-29,0,3,-1,-1,-1,1,0,-1,-2,2,-1,1
2020-03-01,0,2,1,0,-3,2,-2,-3,0,2,-2,2
2020-03-02,1,0,1,1,1,1,0,1,1,1,0,1
2020-03-03,1,1,1,0,0,1,0,0,0,1,0,1
2020-03-04,1,0,2,0,1,2,0,0,0,1,0,2
2020-03-05,0,0,0,0,1,1,0,1,1,0,0,1
2020-03-06,0,0,0,0,2,1,0,2,0,0,0,1
2020-03-07,0,0,0,-1,-1,1,0,-1,-1,0,0,1
2020-03-08,1,1,2,0,-4,2,1,-4,-1,2,1,2
2020-03-09,1,1,1,1,1,2,1,0,2,1,0,2
2020-03-10,2,2,2,1,-1,3,2,0,1,2,2,2
2020-03-11,3,2,2,2,1,4,3,0,2,2,3,3
2020-03-12,5,5,4,4,2,11,5,2,7,4,5,6
2020-03-13,14,13,11,13,10,21,15,12,16,13,13,15
2020-03-14,8,8,7,7,6,11,9,6,8,7,8,8
2020-03-15,11,0,11,0,6,14,10,7,9,12,10,12
2020-03-16,18,16,16,14,14,25,17,16,17,16,17,19
2020-03-17,19,17,16,18,15,26,19,16,20,17,20,20
2020-03-18,20,18,17,19,16,27,20,16,20,18,20,21
2020-03-19,20,18,18,18,15,27,21,17,22,18,21,21
2020-03-20,21,19,18,19,18,28,21,18,23,18,21,22
2020-03-21,9,9,9,6,7,12,9,9,8,9,8,10
2020-03-22,12,0,11,0,0,15,10,10,12,11,12,12
2020-03-23,20,17,17,16,16,27,19,16,20,18,19,21
2020-03-24,20,17,17,18,16,27,20,17,21,18,20,21
2020-03-25,20,17,17,18,16,27,20,16,20,18,21,21
2020-03-26,20,17,17,16,16,28,20,17,20,18,20,21
2020-03-27,21,18,17,18,17,28,22,17,21,18,21,21
2020-03-28,10,9,10,10,9,12,10,11,12,10,9,10
2020-03-29,11,0,10,0,8,14,11,10,13,10,12,11
2020-03-30,18,16,16,16,14,26,17,15,19,16,16,20
2020-03-31,18,16,15,17,15,24,18,16,21,15,18,18
2020-04-01,19,17,15,17,12,26,19,13,19,16,19,19
2020-04-02,20,19,17,18,14,27,21,13,20,18,21,21
2020-04-03,19,17,16,18,14,26,21,15,21,17,20,20
2020-04-04,9,10,8,8,7,11,10,6,10,9,8,9
2020-04-05,11,8,11,0,6,15,9,8,11,11,10,12
2020-04-06,17,14,15,15,13,23,17,13,17,15,17,18
2020-04-07,16,13,14,14,12,21,15,13,16,14,15,17
2020-04-08,18,14,16,17,15,23,18,14,18,16,19,19
2020-04-09,25,21,23,27,20,27,25,22,29,22,26,26
2020-04-10,26,24,22,27,25,29,28,25,30,22,24,26
2020-04-11,9,10,8,6,3,13,11,5,6,10,9,10
