date,NP
2020-02-15,2
2020-02-16,8
2020-02-17,5
2020-02-18,7
2020-02-19,6
2020-02-20,10
2020-02-21,-35
2020-02-22,2
2020-02-23,10
2020-02-24,6
2020-02-25,5
2020-02-26,-6
2020-02-27,7
2020-02-28,8
2020-02-29,6
2020-03-01,11
2020-03-02,6
2020-03-03,6
2020-03-04,5
2020-03-05,12
2020-03-06,9
2020-03-07,4
2020-03-08,-16
2020-03-09,-43
2020-03-10,-17
2020-03-11,-3
2020-03-12,8
2020-03-13,8
2020-03-14,12
2020-03-15,11
2020-03-16,8
2020-03-17,6
2020-03-18,5
2020-03-19,4
2020-03-20,-3
2020-03-21,0
2020-03-22,-14
2020-03-23,-30
2020-03-24,-70
2020-03-25,-74
2020-03-26,-74
2020-03-27,-74
2020-03-28,-54
2020-03-29,-72
2020-03-30,-74
2020-03-31,-74
2020-04-01,-73
2020-04-02,-72
2020-04-03,-71
2020-04-04,-50
2020-04-05,-69
2020-04-06,-72
2020-04-07,-71
2020-04-08,-71
2020-04-09,-70
2020-04-10,-68
2020-04-11,-50
