date,NZ,Auckland,Bay Of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
2020-02-15,5,6,0,5,-5,15,5,8,7,-3,9,6,-6,-3,0,10,0
2020-02-16,4,5,0,4,-6,7,2,2,1,-9,4,9,-1,-9,0,8,-6
2020-02-17,-2,0,-6,3,-6,-2,-2,4,2,-7,0,3,-3,5,-6,-2,-5
2020-02-18,2,1,-1,5,0,-1,1,3,-1,-1,3,2,1,-9,-1,1,7
2020-02-19,2,2,-2,1,2,6,1,-4,-3,-1,2,6,3,-3,0,2,-11
2020-02-20,0,1,-3,3,-5,1,-1,9,2,-3,4,2,2,-11,-2,-2,4
2020-02-21,0,3,-5,2,-7,-1,2,-4,4,-6,1,2,0,-6,-4,-1,5
2020-02-22,4,6,-1,3,-2,10,5,6,7,-4,5,14,5,5,-1,7,3
2020-02-23,3,4,-2,5,-4,4,1,0,6,-6,2,7,0,-3,-1,6,5
2020-02-24,-1,0,-4,3,-4,0,1,-3,2,-6,0,4,-3,2,-4,1,8
2020-02-25,1,1,-2,2,-4,-3,1,-3,-1,-3,1,2,1,-5,-2,2,10
2020-02-26,5,5,3,4,2,10,7,1,2,1,3,10,5,2,1,4,-2
2020-02-27,1,1,-2,2,-3,0,2,3,4,-3,2,2,-1,-7,-4,1,-1
2020-02-28,4,8,-3,7,-1,4,4,-1,2,-3,4,3,2,0,-1,5,9
2020-02-29,13,20,8,17,4,12,12,13,7,4,11,23,5,5,8,12,5
2020-03-01,4,6,1,5,-5,5,5,2,3,-4,1,9,-1,-6,1,6,2
2020-03-02,-1,1,-3,3,-4,-1,0,1,-2,-9,-1,1,-2,-10,-6,2,6
2020-03-03,0,0,-4,2,-6,-4,1,-1,4,-6,-2,1,0,-9,-4,1,-4
2020-03-04,0,2,-3,-1,-4,1,1,-7,-1,-5,-3,3,-6,-9,-3,0,-2
2020-03-05,1,3,-1,2,4,-2,1,1,3,-4,2,-1,1,-13,-2,2,-3
2020-03-06,2,5,-3,4,4,-3,2,-4,2,-5,3,1,-1,-10,-2,6,14
2020-03-07,4,7,1,5,-3,0,2,-3,-1,-4,6,3,-8,-10,-2,13,3
2020-03-08,4,5,1,3,-5,1,2,2,2,-8,2,3,-10,-10,1,12,8
2020-03-09,-4,-3,-7,1,-2,0,-2,2,0,-9,-2,2,-5,-11,-10,0,11
2020-03-10,-2,-1,-4,-2,-6,-2,-2,3,-5,-9,-3,1,4,-14,-4,0,6
2020-03-11,-2,-1,-3,-4,0,1,-1,-6,-4,-7,-3,1,-3,-13,-5,-1,-7
2020-03-12,-1,-1,-4,0,1,-1,-1,5,2,-7,1,2,4,-16,-5,0,-4
2020-03-13,0,3,-5,1,3,-3,2,2,2,-7,1,-2,10,-12,-4,3,-2
2020-03-14,3,7,-1,5,-1,5,4,6,-1,-6,4,2,-2,-12,0,5,-3
2020-03-15,6,7,1,7,-2,3,5,6,6,-7,7,10,3,-6,3,10,6
2020-03-16,5,6,2,11,4,3,5,2,8,-4,7,12,8,-5,-1,11,14
2020-03-17,10,12,7,15,9,7,9,11,4,0,8,12,13,-10,6,12,17
2020-03-18,13,17,8,14,9,12,12,2,7,1,5,22,15,-3,8,15,6
2020-03-19,22,34,15,20,12,15,17,10,22,8,6,18,30,-5,17,22,11
2020-03-20,12,23,5,9,7,5,12,2,9,5,0,3,11,1,6,14,5
2020-03-21,6,13,4,8,1,4,11,5,-3,-2,-8,8,1,-8,0,11,-12
2020-03-22,-4,-4,-4,-3,-8,-6,1,-4,-4,-9,-17,-11,-9,-10,-8,1,-8
2020-03-23,29,37,27,38,28,27,36,29,21,29,3,21,27,23,24,30,15
2020-03-24,12,20,11,14,9,5,13,15,4,8,-2,0,13,-2,9,9,-4
2020-03-25,4,14,5,4,4,-2,5,-4,-13,-3,-13,-3,4,-15,0,0,-22
2020-03-26,-58,-56,-57,-59,-55,-57,-55,-62,-59,-57,-67,-65,-56,-75,-58,-58,-71
2020-03-27,-48,-44,-48,-50,-44,-50,-46,-56,-53,-52,-55,-49,-45,-68,-50,-45,-58
2020-03-28,-53,-50,-51,-52,-51,-53,-53,-56,-60,-58,-60,-52,-54,-67,-55,-58,-65
2020-03-29,-54,-55,-51,-56,-48,-53,-50,-60,-60,-55,-62,-53,-52,-67,-55,-54,-61
2020-03-30,-44,-42,-40,-47,-44,-43,-37,-49,-51,-46,-55,-46,-40,-65,-44,-38,-60
2020-03-31,-38,-37,-37,-36,-37,-43,-36,-45,-48,-41,-50,-41,-34,-60,-38,-38,-52
2020-04-01,-38,-38,-35,-39,-38,-40,-35,-47,-48,-40,-48,-44,-30,-62,-38,-37,-58
2020-04-02,-37,-35,-37,-36,-35,-40,-35,-44,-39,-38,-48,-45,-32,-61,-38,-38,-55
2020-04-03,-37,-32,-39,-37,-36,-43,-35,-47,-43,-42,-49,-42,-34,-67,-41,-35,-51
2020-04-04,-46,-42,-45,-45,-45,-48,-42,-51,-57,-56,-56,-47,-45,-66,-49,-46,-62
2020-04-05,-48,-48,-44,-45,-42,-49,-43,-54,-55,-51,-59,-53,-43,-67,-49,-46,-59
2020-04-06,-39,-36,-37,-36,0,-40,-33,-44,-45,-40,-53,-43,-33,0,-41,-36,0
2020-04-07,-35,-33,-34,-31,0,-39,-33,-43,-46,-39,-49,-42,-32,0,-36,-34,0
2020-04-08,-31,-30,-29,-28,0,-33,-30,-37,-38,-35,-43,-35,-22,0,-36,-29,0
2020-04-09,-18,-17,-20,-12,0,-22,-14,-21,-21,-23,-33,-27,-6,0,-23,-17,0
2020-04-10,-91,-89,-89,-93,-92,-91,-93,-96,-95,-90,-95,-94,-92,0,-90,-90,0
2020-04-11,-33,-31,-29,-28,0,-33,-28,-31,-46,-39,-41,-30,-25,-59,-36,-35,0
