date,NZ,Auckland,Bay Of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
2020-02-15,4,7,1,1,14,0,3,3,0,0,6,7,-2,0,2,5,6
2020-02-16,0,0,0,2,0,2,1,4,-3,-6,2,4,-2,-4,-2,3,0
2020-02-17,31,19,17,15,30,15,22,13,18,18,14,23,20,18,21,21,19
2020-02-18,15,14,15,14,20,15,15,9,14,17,13,20,14,14,15,17,16
2020-02-19,14,13,16,14,18,15,16,9,17,15,13,21,13,16,16,16,15
2020-02-20,18,18,17,17,26,17,19,12,15,17,16,21,20,20,19,19,13
2020-02-21,17,16,16,18,21,16,19,13,17,18,15,24,18,21,19,21,19
2020-02-22,4,7,1,1,14,0,4,8,1,3,3,8,4,9,2,6,6
2020-02-23,1,1,-1,1,0,0,3,0,6,-2,1,2,2,2,-1,4,0
2020-02-24,32,21,20,16,29,16,23,12,20,19,15,22,20,20,22,22,24
2020-02-25,15,15,16,15,21,17,17,12,18,16,13,20,17,18,16,16,15
2020-02-26,16,15,18,14,20,18,18,11,18,16,13,21,16,18,17,16,10
2020-02-27,19,19,18,18,28,19,22,15,18,17,17,21,20,19,20,18,16
2020-02-28,19,18,17,18,23,18,20,13,22,18,17,24,20,18,20,21,16
2020-02-29,5,9,2,2,14,5,2,-4,2,6,1,1,2,4,4,5,-2
2020-03-01,1,0,-1,2,0,3,4,4,3,1,-1,4,2,4,2,2,0
2020-03-02,34,23,21,16,35,19,25,13,20,20,16,25,23,20,23,23,23
2020-03-03,17,17,18,16,22,19,18,14,15,17,13,23,18,17,18,17,17
2020-03-04,16,16,18,15,19,17,17,11,18,15,13,20,18,13,18,16,14
2020-03-05,20,21,20,19,30,18,20,15,18,16,18,21,20,17,21,20,13
2020-03-06,19,19,19,18,26,16,18,15,19,17,17,24,11,18,21,21,15
2020-03-07,6,9,4,2,12,10,7,0,1,5,2,-7,-4,6,3,8,4
2020-03-08,1,1,1,0,0,4,-2,0,1,-2,0,4,-2,2,0,3,0
2020-03-09,30,21,20,17,33,19,21,16,20,19,16,21,-64,18,21,21,18
2020-03-10,16,16,16,15,19,19,18,14,19,17,13,21,18,18,17,17,16
2020-03-11,16,15,19,15,19,18,18,14,19,16,13,22,19,17,17,16,11
2020-03-12,19,19,19,17,28,20,22,17,19,18,17,22,23,20,20,17,14
2020-03-13,18,18,18,17,23,17,20,16,21,17,16,22,22,21,20,20,14
