date,total
2020-02-29,-5.357253316855752
2020-03-01,-11.97560023332892
2020-03-02,-2.776800400676574
2020-03-03,-1.8605121396887305
2020-03-04,-1.7280174956782934
2020-03-05,-3.7122445138105045
2020-03-06,-2.218088046415694
2020-03-07,-7.334296890433182
2020-03-08,-11.001046255396728
2020-03-09,-3.897417751222682
2020-03-10,-6.34617418389751
2020-03-11,-14.666199299348103
2020-03-12,-20.415349424692558
2020-03-13,-19.87898556460211
2020-03-14,-29.40982016778664
2020-03-15,-43.28424424509647
2020-03-16,-27.914067379379656
2020-03-17,-35.976286651364155
2020-03-18,-39.28226746757639
2020-03-19,-45.35786523991042
2020-03-20,-47.583136730880895
2020-03-21,-60.36567723586374
2020-03-22,-66.76612633417517
2020-03-23,-55.43863243178887
2020-03-24,-61.503055957037674
2020-03-25,-70.34348172245699
2020-03-26,-70.48156349001003
2020-03-27,-70.76810311169524
2020-03-28,-75.0342710167301
2020-03-29,-77.58678831519623
2020-03-30,-68.54283162072477
2020-03-31,-68.89881120643956
2020-04-01,-72.63260605391442
2020-04-02,-69.84782404817696
2020-04-03,-74.28320198050227
2020-04-04,-74.56654896016315
2020-04-05,-85.70248434108856
2020-04-06,-72.0020592541057
2020-04-07,-68.0878801322552
2020-04-08,-71.27732951457874
2020-04-09,-67.44855356687953
2020-04-10,-78.63557122019452
2020-04-11,-86.00019820985901
