date,total
2020-02-29,-6.545176026321365
2020-03-01,-5.318393657946243
2020-03-02,-9.88436079662241
2020-03-03,-7.9191722789015015
2020-03-04,-11.719471437823545
2020-03-05,-5.832473888503437
2020-03-06,-8.654462790486336
2020-03-07,-7.772737304136724
2020-03-08,-4.9094662018212025
2020-03-09,-3.459915733537963
2020-03-10,-7.9191722789015015
2020-03-11,-9.466086427214513
2020-03-12,-4.037866538194687
2020-03-13,-6.058357626172507
2020-03-14,-2.863271102315523
2020-03-15,-5.318393657946243
2020-03-16,-7.413660052186928
2020-03-17,-7.9191722789015015
2020-03-18,-8.564109295418708
2020-03-19,-7.179208310675238
2020-03-20,-10.385199566695556
2020-03-21,-10.636008406452246
2020-03-22,-13.50005841820801
2020-03-23,-6.919052557635687
2020-03-24,-12.112041795703586
2020-03-25,-10.36728464957008
2020-03-26,-9.422467498561174
2020-03-27,-9.952904827363371
2020-03-28,-13.50005841820801
2020-03-29,-11.454642228142566
2020-03-30,-8.89592471696017
2020-03-31,-13.510184240931103
2020-04-01,-15.325822146126283
2020-04-02,-11.665726686447112
2020-04-03,-13.41437837978181
2020-04-04,-14.72761969602337
2020-04-05,-13.091130962082966
2020-04-06,-9.39053221151141
2020-04-07,-13.043617486228438
2020-04-08,-13.071658226077014
2020-04-09,-7.179208310675238
2020-04-10,-9.519831178590946
2020-04-11,-9.000298581952086
