date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,0,1,2,1,2,-2,3,2,-6,-2,3,3,2,3,0,5,-4
2020-02-16,-2,-4,-1,1,-2,-1,-2,-3,-5,-5,-3,-2,-2,-1,-2,0,-6
2020-02-17,1,25,27,25,20,-15,26,24,-19,-19,25,24,23,21,30,24,-19
2020-02-18,1,2,2,2,2,-15,0,2,-18,-18,2,24,2,2,3,2,-18
2020-02-19,1,2,2,2,1,-15,-1,2,-18,-19,1,13,2,1,3,0,-18
2020-02-20,1,3,3,3,2,-15,0,3,-18,-18,3,2,3,2,2,1,-18
2020-02-21,1,3,4,4,20,-16,28,3,-19,-20,27,26,23,21,4,27,-18
2020-02-22,2,3,3,2,4,0,4,3,-3,-2,4,5,5,4,1,4,-1
2020-02-23,-3,-5,-2,-2,-3,-4,-4,-5,-5,-7,-4,-1,-1,-3,-5,-1,-4
2020-02-24,8,25,27,26,22,2,28,24,2,2,26,25,24,22,28,25,3
2020-02-25,8,3,2,3,3,3,2,2,2,2,2,25,3,2,3,3,3
2020-02-26,8,2,2,3,2,3,2,2,2,3,2,13,2,2,3,2,3
2020-02-27,8,2,3,4,1,2,3,1,2,3,4,3,2,3,2,1,3
2020-02-28,9,4,4,5,20,2,32,3,2,3,29,28,25,23,5,28,3
2020-02-29,4,3,4,3,5,3,5,4,4,3,3,7,7,5,1,5,4
2020-03-01,2,-1,2,1,1,2,1,2,0,1,1,1,3,1,1,2,4
2020-03-02,10,26,28,27,24,4,31,26,3,3,27,28,24,23,29,26,4
2020-03-03,9,3,2,3,5,3,5,3,3,3,4,27,3,3,4,3,4
2020-03-04,9,2,3,3,4,3,3,3,3,3,1,15,3,3,3,1,4
2020-03-05,9,3,3,4,5,3,5,2,3,3,6,5,3,4,3,2,4
2020-03-06,9,3,3,5,24,3,34,2,2,2,30,30,25,24,4,28,3
2020-03-07,4,2,2,2,6,2,8,2,3,3,6,8,5,5,0,7,3
2020-03-08,5,4,7,2,5,6,4,7,1,4,4,4,6,5,1,5,6
2020-03-09,9,25,28,26,24,3,32,24,3,3,28,28,24,23,31,26,3
2020-03-10,9,2,2,2,4,3,5,2,2,3,4,27,3,3,4,3,3
2020-03-11,5,-5,1,-1,1,0,-3,1,-1,0,0,14,1,0,2,1,2
2020-03-12,-12,-17,-15,-18,-15,-15,-25,-14,-20,-16,-19,-17,-16,-13,-18,-18,-15
2020-03-13,-17,-20,-18,-23,-4,-20,-9,-16,-28,-20,-5,-1,-4,-2,-20,1,-18
2020-03-14,-14,-13,-11,-17,-11,-13,-17,-9,-17,-14,-16,-10,-12,-11,-18,-12,-11
2020-03-15,-26,-27,-22,-32,-24,-22,-31,-21,-28,-28,-30,-26,-26,-24,-27,-25,-23
2020-03-16,-33,-20,-14,-27,-23,-35,-26,-15,-45,-34,-23,-18,-24,-21,-18,-17,-32
2020-03-17,-38,-38,-34,-45,-39,-39,-45,-33,-50,-37,-41,-22,-41,-37,-39,-36,-36
2020-03-18,-39,-40,-36,-47,-41,-41,-46,-35,-51,-38,-43,-31,-43,-39,-40,-37,-37
2020-03-19,-40,-40,-36,-47,-41,-42,-46,-36,-52,-38,-42,-38,-44,-39,-41,-38,-38
2020-03-20,-39,-39,-36,-46,-30,-42,-30,-35,-51,-37,-28,-23,-31,-27,-39,-20,-38
2020-03-21,-28,-26,-23,-33,-26,-29,-27,-23,-30,-26,-29,-22,-26,-28,-30,-23,-24
2020-03-22,-33,-32,-27,-40,-29,-33,-35,-29,-35,-35,-36,-31,-33,-34,-35,-31,-31
2020-03-23,-41,-27,-22,-37,-31,-44,-32,-23,-53,-38,-31,-25,-32,-30,-27,-23,-38
2020-03-24,-42,-42,-38,-50,-43,-45,-46,-38,-54,-40,-45,-26,-45,-43,-43,-38,-39
2020-03-25,-44,-44,-40,-52,-45,-47,-49,-40,-56,-41,-48,-35,-46,-45,-45,-40,-41
2020-03-26,-44,-44,-40,-52,-44,-48,-48,-41,-56,-42,-47,-41,-47,-45,-45,-41,-41
2020-03-27,-43,-42,-39,-50,-32,-47,-32,-41,-55,-41,-33,-26,-34,-33,-43,-25,-41
2020-03-28,-29,-28,-24,-34,-25,-30,-27,-27,-31,-27,-31,-22,-27,-28,-30,-23,-26
2020-03-29,-36,-37,-33,-41,-29,-38,-32,-37,-35,-37,-36,-32,-38,-35,-34,-35,-39
2020-03-30,-44,-31,-26,-42,-33,-47,-35,-29,-55,-41,-35,-28,-35,-34,-31,-28,-42
2020-03-31,-44,-44,-41,-53,-44,-48,-48,-42,-55,-42,-47,-28,-47,-45,-45,-41,-41
2020-04-01,-46,-45,-42,-53,-45,-49,-49,-44,-57,-43,-49,-36,-48,-46,-46,-44,-43
2020-04-02,-46,-46,-42,-54,-45,-50,-49,-44,-57,-43,-48,-43,-48,-46,-46,-45,-44
2020-04-03,-45,-44,-41,-52,-34,-49,-34,-43,-56,-42,-35,-29,-36,-35,-45,-29,-43
2020-04-04,-32,-32,-29,-37,-27,-34,-28,-30,-34,-29,-33,-27,-31,-32,-33,-29,-30
2020-04-05,-27,-27,-22,-34,-20,-27,-27,-24,-28,-27,-32,-25,-26,-28,-28,-25,-25
2020-04-06,-45,-33,-28,-43,-34,-49,-35,-31,-56,-43,-37,-30,-37,-36,-32,-30,-42
2020-04-07,-46,-45,-43,-54,-45,-49,-49,-44,-57,-43,-49,-31,-48,-47,-46,-43,-43
2020-04-08,-46,-46,-42,-54,-45,-49,-50,-43,-57,-43,-50,-37,-48,-47,-46,-43,-42
2020-04-09,-48,-48,-43,-56,-46,-51,-51,-45,-58,-45,-53,-46,-49,-48,-48,-45,-44
