date,PR
2020-02-15,0
2020-02-16,-2
2020-02-17,-5
2020-02-18,2
2020-02-19,-3
2020-02-20,0
2020-02-21,-1
2020-02-22,-2
2020-02-23,-5
2020-02-24,-4
2020-02-25,-8
2020-02-26,-3
2020-02-27,1
2020-02-28,2
2020-02-29,-1
2020-03-01,0
2020-03-02,3
2020-03-03,10
2020-03-04,4
2020-03-05,1
2020-03-06,3
2020-03-07,0
2020-03-08,1
2020-03-09,-1
2020-03-10,6
2020-03-11,2
2020-03-12,27
2020-03-13,25
2020-03-14,26
2020-03-15,19
2020-03-16,0
2020-03-17,-19
2020-03-18,-24
2020-03-19,-28
2020-03-20,-20
2020-03-21,-21
2020-03-22,-42
2020-03-23,-38
2020-03-24,-39
2020-03-25,-39
2020-03-26,-36
2020-03-27,-30
2020-03-28,-38
2020-03-29,-51
2020-03-30,-34
2020-03-31,-45
2020-04-01,-48
2020-04-02,-41
2020-04-03,-37
2020-04-04,-38
2020-04-05,-95
2020-04-06,-32
2020-04-07,-33
2020-04-08,-33
2020-04-09,-24
2020-04-10,-95
2020-04-11,-87
