date,PR
2020-02-15,2
2020-02-16,0
2020-02-17,-3
2020-02-18,-2
2020-02-19,-2
2020-02-20,-2
2020-02-21,-2
2020-02-22,-1
2020-02-23,-4
2020-02-24,-7
2020-02-25,-10
2020-02-26,-2
2020-02-27,2
2020-02-28,3
2020-02-29,2
2020-03-01,2
2020-03-02,-2
2020-03-03,2
2020-03-04,1
2020-03-05,-1
2020-03-06,-1
2020-03-07,1
2020-03-08,0
2020-03-09,-8
2020-03-10,-3
2020-03-11,-3
2020-03-12,2
2020-03-13,-3
2020-03-14,-12
2020-03-15,-27
2020-03-16,-51
2020-03-17,-63
2020-03-18,-65
2020-03-19,-67
2020-03-20,-66
2020-03-21,-68
2020-03-22,-75
2020-03-23,-70
2020-03-24,-70
2020-03-25,-69
2020-03-26,-69
2020-03-27,-68
2020-03-28,-72
2020-03-29,-77
2020-03-30,-66
2020-03-31,-72
2020-04-01,-73
2020-04-02,-72
2020-04-03,-72
2020-04-04,-73
2020-04-05,-93
2020-04-06,-66
2020-04-07,-68
2020-04-08,-66
2020-04-09,-64
2020-04-10,-93
2020-04-11,-87
